Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
311,Jordan Hawkins,23.0,NOP,SG,14.0,0.0,15.1,1.8,5.5,0.325,0.7,3.0,0.238,1.1,2.5,0.429,0.39,0.4,0.5,0.714,0.4,1.4,1.9,1.1,0.1,0.0,0.4,0.6,4.6,
312,Trayce Jackson-Davis,25.0,GSW,C,10.0,1.0,12.5,1.7,3.1,0.548,0.0,0.0,,1.7,3.1,0.548,0.548,1.2,1.8,0.667,1.7,1.6,3.3,1.1,0.3,0.5,0.8,1.8,4.6,
313,Jarred Vanderbilt,26.0,LAL,PF,14.0,2.0,18.4,1.6,3.6,0.44,0.3,1.0,0.286,1.3,2.6,0.5,0.48,1.1,1.4,0.842,1.4,4.2,5.6,1.5,1.0,0.4,1.6,1.9,4.6,
314,DeAndre Jordan,37.0,NOP,C,2.0,1.0,11.5,2.0,2.5,0.8,0.0,0.0,,2.0,2.5,0.8,0.8,0.5,1.0,0.5,2.0,3.0,5.0,0.0,0.0,0.0,0.5,0.5,4.5,
315,Antonio Reeves,25.0,CHO,SG,2.0,0.0,10.5,1.5,3.0,0.5,1.5,2.5,0.6,0.0,0.5,0.0,0.75,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,4.5,
316,Jordan Walsh,21.0,BOS,PF,11.0,3.0,16.7,1.8,3.7,0.488,0.6,1.5,0.412,1.2,2.2,0.542,0.573,0.3,0.4,0.75,1.2,2.9,4.1,0.9,0.9,0.5,0.2,2.4,4.5,
317,Taylor Hendricks,22.0,UTA,PF,9.0,3.0,16.4,1.7,4.4,0.375,0.4,1.9,0.235,1.2,2.6,0.478,0.425,0.7,0.9,0.75,1.8,2.4,4.2,0.4,0.4,0.3,0.6,0.4,4.4,
318,Nick Richards,28.0,PHO,C,15.0,1.0,10.4,1.6,2.9,0.558,0.0,0.0,,1.6,2.9,0.558,0.558,1.2,1.7,0.72,1.3,2.1,3.4,0.3,0.1,0.5,0.9,1.5,4.4,
319,Nique Clifford,23.0,SAC,SG,11.0,2.0,18.3,1.5,4.6,0.333,0.5,2.1,0.261,1.0,2.5,0.393,0.392,0.6,0.9,0.7,0.6,2.1,2.7,2.0,0.4,0.4,0.7,2.3,4.3,
320,Dereck Lively II,21.0,DAL,C,6.0,4.0,16.2,1.7,2.8,0.588,0.0,0.0,,1.7,2.8,0.588,0.588,1.0,1.3,0.75,1.8,3.7,5.5,1.8,0.5,1.7,1.5,2.7,4.3,
321,Kevin Love,37.0,UTA,PF,8.0,0.0,14.0,1.1,3.4,0.333,0.8,2.9,0.261,0.4,0.5,0.75,0.444,1.3,1.5,0.833,0.8,3.5,4.3,2.3,0.0,0.4,0.9,1.3,4.3,
