,,,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,#NAME?
Rk,Player,Type,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,-9999
158,Trentyn Flowers,Projected,6.3,13.5,1.8,5.1,2.8,3.4,1.7,6.6,3.5,1.1,0.6,2,3,17.2,0.468,0.349,0.826,flowetr01
159,Malachi Flynn,Projected,5.5,13.1,2.2,6.4,2.2,2.9,1.1,5.1,4.8,1.5,0.4,2.3,2.9,15.4,0.423,0.34,0.759,flynnma01
160,Simone Fontecchio,Projected,4.9,11.6,2.5,6.9,1.7,2.1,1.5,5.8,2.1,0.9,0.4,1.6,2.7,14.1,0.424,0.359,0.821,fontesi01
161,De'Aaron Fox,Projected,9.1,19.3,2.2,6.6,4.2,5.4,0.9,4.8,6,1.6,0.4,2.7,2.6,24.5,0.469,0.335,0.79,foxde01
162,Enrique Freeman,Projected,4.7,10.2,1.1,3.7,2.6,3.5,2,6.3,2.9,0.9,0.7,1.6,3.5,13.1,0.46,0.293,0.731,freemen01
163,Markelle Fultz,Projected,6.3,13.2,0.6,1.8,1.4,1.9,1.7,5.2,5.3,1.7,0.6,2.4,2.6,14.7,0.477,0.348,0.764,fultzma01
164,Johnny Furphy,Projected,4.3,10.1,1.7,5,2,2.5,2.1,6.9,2.5,1.6,1,1.4,3.5,12.3,0.429,0.333,0.811,furphjo01
165,Daniel Gafford,Projected,7.5,10.8,0.1,0.3,3.2,4.6,4,10.9,2.4,0.9,2.8,1.8,4.3,18.4,0.695,0.361,0.691,gaffoda01
166,Darius Garland,Projected,8.1,17.3,3,7.5,3.4,3.9,0.7,3.3,7.6,1.4,0.2,3,2.1,22.6,0.469,0.398,0.865,garlada01
167,Marcus Garrett,Projected,5.9,13,1.8,5,2.2,2.8,1.3,5.4,4.6,1.3,0.8,2.3,3.3,15.7,0.451,0.366,0.775,garrema01
168,Luka Garza,Projected,8.1,16.5,1.9,6.2,3.8,5.3,4,8.2,2.5,1,0.5,2,4.5,22,0.492,0.312,0.726,garzalu01
169,Keyonte George,Projected,6.1,15.1,2.9,8.2,3.8,4.6,0.5,4.4,6.3,0.8,0.2,3.1,1.8,19,0.406,0.352,0.832,georgke01
170,Kyshawn George,Projected,4.3,11,2.3,6.9,1.5,2,1.1,5.9,3.5,1.4,1,1.9,3.8,12.5,0.393,0.335,0.766,georgky01
171,Paul George,Projected,7.4,16.6,2.9,7.7,3.1,3.6,0.7,5.8,4.3,1.7,0.5,2.6,2.9,20.8,0.446,0.378,0.862,georgpa01
172,Taj Gibson,Projected,4.4,9.3,0.6,1.7,1.4,2,3.2,8.5,2.3,0.9,1.2,2,4.7,10.7,0.469,0.333,0.681,gibsota01
173,Josh Giddey,Projected,6.9,14.3,1.7,4.5,2.5,3.2,2.1,9.5,7.9,1.2,0.8,3.2,2.1,18,0.48,0.371,0.789,giddejo01
174,Shai Gilgeous-Alexander,Projected,11.4,21.8,1.9,5,8.2,9.2,1,5.5,6.5,1.9,1,2.5,2.4,32.9,0.524,0.37,0.891,gilgesh01
175,Anthony Gill,Projected,4.8,10.1,1,3.3,2.7,3.8,2,6.3,2.3,0.9,0.5,1.4,3.2,13.2,0.477,0.3,0.711,gillan01
176,Collin Gillespie,Projected,5.5,12.3,2.7,6.5,1.7,2.1,1.5,5.8,5.4,1.6,0.4,1.6,2.6,15.5,0.448,0.418,0.81,gilleco01
177,Rudy Gobert,Projected,5.4,8.3,0.1,0.2,3,4.6,3.8,12.2,1.8,0.8,1.7,1.5,3,13.8,0.648,0.323,0.656,goberru01
178,Jordan Goodwin,Projected,4.8,11.5,1.6,4.6,1.3,1.7,2.5,7.7,4.2,1.8,0.7,1.8,2.8,12.5,0.417,0.342,0.77,goodwjo01
179,Aaron Gordon,Projected,6.5,12.1,1.3,3.4,3.2,4.4,2.3,6.8,4,0.8,0.6,1.8,2.2,17.5,0.538,0.385,0.726,gordoaa01
180,Eric Gordon,Projected,4.8,11.2,2.6,6.9,1.6,2,0.4,2.6,2.9,1.1,0.6,1.5,1.6,13.8,0.432,0.377,0.775,gordoer01
181,Jazian Gortman,Projected,6.2,13.6,2.2,5.9,2.3,3.1,1.4,5.8,4,1.3,0.7,2.3,3.4,16.9,0.458,0.372,0.73,gortmja01
182,Jerami Grant,Projected,6.1,14.7,2.4,6.3,3.9,4.7,0.7,4,2.6,0.9,0.9,1.8,2.5,18.5,0.415,0.376,0.828,grantje01
183,A.J. Green,Projected,4.3,9.9,3.4,8.1,0.7,0.9,0.5,4,2.4,0.8,0.2,0.9,3.3,12.8,0.436,0.424,0.824,greenaj01
184,Draymond Green,Projected,4.1,9.2,1.3,3.9,1.7,2.4,1.4,7.9,7,1.6,1.2,3.2,3.9,11.2,0.447,0.333,0.697,greendr01
185,Jalen Green,Projected,8.1,18.7,3,8.4,3.9,4.8,0.6,5.3,3.9,1,0.4,2.6,1.7,23.1,0.433,0.356,0.812,greenja05
186,Javonte Green,Projected,4.1,9,1.4,4.1,1.7,2.3,1.8,6.5,1.8,1.8,0.9,1.1,2.9,11.2,0.453,0.332,0.728,greenja02
187,Jeff Green,Projected,5,10.8,1.7,5.2,2.7,3.4,1.2,5.1,2.1,0.6,0.6,1.3,2.9,14.6,0.465,0.336,0.795,greenje02
188,Josh Green,Projected,4,8.6,1.8,4.6,1.1,1.6,1.1,3.9,2.5,1.3,0.3,1.4,3,10.8,0.46,0.394,0.703,greenjo02
189,Quentin Grimes,Projected,6.2,13.6,2.8,7.5,2.4,3.2,1,5.3,3.6,1.3,0.4,2.1,2.5,17.7,0.459,0.381,0.765,grimequ01
190,Mouhamed Gueye,Projected,5.2,11.9,1.6,5.4,2.3,3,2.8,9,2.4,1.8,1.9,1.2,3.6,14.3,0.439,0.294,0.778,gueyemo02
191,Rui Hachimura,Projected,6.2,12.1,1.9,4.7,1.8,2.4,1.4,5.9,1.7,0.8,0.5,1,2,16.2,0.515,0.408,0.76,hachiru01
192,Tyrese Haliburton,Projected,7.4,15.4,3.2,8.2,2.9,3.4,0.7,4.1,10.5,1.5,0.7,2,1.4,21,0.482,0.387,0.854,halibty01
193,PJ Hall,Projected,6.8,13.3,1.8,5.2,2.3,3,2.2,8.3,3.5,0.9,1.2,1.8,3.6,17.6,0.51,0.343,0.78,hallpj01
194,Tim Hardaway Jr.,Projected,5.3,13.2,3,8.4,2.2,2.6,0.4,3.6,2.2,0.7,0.1,1,1.8,15.8,0.402,0.36,0.838,hardati02
195,James Harden,Projected,6.2,15.1,2.8,8,5.6,6.5,0.7,5.7,8.7,1.4,0.7,3.8,2.1,20.9,0.411,0.354,0.869,hardeja01
196,Jaden Hardy,Projected,7.2,16.4,3,7.7,2.4,3.3,0.6,4.3,3.6,1,0.3,2.7,3.2,19.8,0.439,0.387,0.744,hardyja02
197,Elijah Harkless,Projected,4.8,11.4,2,6,1.8,2.5,2,6.2,3.2,1.9,0.5,1.5,3.6,13.2,0.418,0.326,0.704,harklej01
198,Ron Harper Jr.,Projected,5.9,13.4,1.8,6,2.7,3.3,2.3,7.2,4,1,0.7,1.8,2.7,16.2,0.439,0.298,0.811,harpero02
199,Gary Harris,Projected,3.5,8.2,2,5.5,0.8,1.1,0.9,3.2,2.1,1.3,0.5,1,2.5,9.9,0.425,0.37,0.737,harriga01
200,Tobias Harris,Projected,6.3,13.1,1.5,4.2,2.3,2.7,1.1,6.7,2.8,1.1,0.8,1.4,2.1,16.3,0.477,0.348,0.862,harrito02
201,Josh Hart,Projected,4.7,9.4,1.1,3.2,1.8,2.3,1.9,8.9,5.1,1.3,0.3,1.8,2.5,12.1,0.496,0.329,0.775,hartjo01
202,Isaiah Hartenstein,Projected,5.5,9.4,0.1,0.6,1.9,2.7,4,12.7,4.2,1.3,1.4,2,3.9,13.1,0.586,0.213,0.696,harteis01
203,Sam Hauser,Projected,5.1,11.3,3.8,9.2,0.4,0.5,1,5.5,1.7,0.9,0.4,0.7,2.1,14.5,0.451,0.417,0.862,hausesa01
204,Jordan Hawkins,Projected,5.7,14.7,3.1,8.8,2.2,2.7,0.8,4.7,2.1,0.8,0.5,1.5,1.7,16.8,0.391,0.352,0.825,hawkijo01
205,Jaxson Hayes,Projected,5.4,8,0.2,0.7,2.2,3.4,2.6,8.6,2,1.2,1.5,1.6,4.4,13.2,0.677,0.263,0.649,hayesja02
206,Killian Hayes,Projected,4.8,11.5,1.3,3.9,1.7,2.2,0.7,4.4,7.1,1.4,0.7,2.2,3,12.5,0.418,0.324,0.765,hayeski01
207,Scoot Henderson,Projected,6.2,14.6,2.1,5.8,3.3,4.2,1.1,4.3,6.9,1.3,0.3,3.6,3.6,17.8,0.423,0.358,0.794,hendesc01
208,Taylor Hendricks,Projected,4.8,10.7,2.1,5.7,1.4,1.8,1.9,7.6,2,1.3,1.2,1.3,3.1,13.1,0.448,0.372,0.791,hendrta01
209,Tyler Herro,Projected,8.4,18,3.3,8.6,3.4,3.9,0.5,5.5,5.3,0.9,0.2,2.5,1.3,23.5,0.467,0.382,0.878,herroty01
210,Buddy Hield,Projected,6.3,14.8,3.7,9.9,1.1,1.3,1,5,3.1,1.3,0.5,1.8,2.6,17.4,0.425,0.376,0.831,hieldbu01
211,Haywood Highsmith,Projected,3.8,8.3,1.8,4.7,0.7,1,1.5,5.3,2.2,1.3,0.7,1.1,3.2,10.1,0.458,0.381,0.698,highsha01
212,Aaron Holiday,Projected,5.3,11.9,2.7,6.8,1.6,1.9,0.7,3.8,3.9,1.1,0.4,1.6,3.2,14.9,0.441,0.391,0.852,holidaa01
213,Jrue Holiday,Projected,5.3,11.6,2.1,5.7,1.4,1.6,1.4,5.4,5.1,1.1,0.6,1.9,1.9,14.1,0.454,0.373,0.868,holidjr01
214,Ron Holland,Projected,5.9,12,1.2,4.4,2.7,3.5,1.2,6.4,2.6,1.4,0.5,2,3.7,15.6,0.489,0.269,0.769,hollaro01
215,Richaun Holmes,Projected,5.8,10,0.4,1.1,2.8,3.5,3.8,10.7,2.6,0.7,1.3,1.6,3.8,14.8,0.582,0.332,0.796,holmeri01
216,Chet Holmgren,Projected,7.3,14.1,1.9,5,3.6,4.6,2,10,3,0.9,2.8,2.1,2.9,20.2,0.52,0.382,0.781,holmgch01
217,Jalen Hood-Schifino,Projected,4.9,12.2,1.7,5.3,2.5,3.1,0.8,4.4,4.1,0.8,0.8,2.1,2.9,13.9,0.401,0.317,0.785,hoodsja01
218,Al Horford,Projected,4.3,9.7,2.4,6.3,0.7,0.8,1.6,7.8,3.1,0.8,1.1,1,2,11.7,0.443,0.375,0.85,horfoal01
219,Talen Horton-Tucker,Projected,6.7,15.3,2,6,3.4,4.4,1,5.1,5.2,1.3,0.6,2.3,3,18.8,0.438,0.336,0.765,hortota01
220,Caleb Houstan,Projected,3.9,9.2,2.9,7.3,1,1.2,1.1,4,1.8,0.9,0.3,0.8,2.7,11.7,0.425,0.393,0.834,houstca01
221,Jett Howard,Projected,5.4,13.5,2.8,8.9,1.2,1.6,1.2,4.3,2.7,0.8,0.6,1.8,3.2,14.7,0.401,0.313,0.728,howarje01
222,Kevin Huerter,Projected,5.8,13.1,2.9,8.1,1,1.3,0.8,4.7,3.5,1.3,0.5,1.4,2.8,15.4,0.442,0.354,0.74,huertke01
223,Jay Huff,Projected,7.3,14.3,3.5,8.8,2.2,2.8,1.5,6.4,2.2,0.9,2.3,1.7,3.7,20.3,0.512,0.401,0.793,huffja01
224,Ariel Hukporti,Projected,4.8,8.7,0.9,2.4,1.7,2.6,2.1,7.8,2.8,0.6,1.8,2.8,4.1,12.1,0.548,0.37,0.641,hukpoar01
225,De'Andre Hunter,Projected,7,15,2.8,7.1,3.9,4.7,0.9,5.2,2,0.9,0.3,1.7,3.2,20.7,0.466,0.394,0.842,huntede01
226,Bones Hyland,Projected,6.9,16.8,3.5,9.5,2.5,3,0.8,4.5,5.3,1.8,0.5,2.9,3.5,19.8,0.412,0.369,0.838,hylanbo01
227,Oso Ighodaro,Projected,4.3,7.4,0.3,0.8,1.2,1.9,2.2,7.7,2.7,1,1,1.4,3.3,10.1,0.58,0.345,0.635,ighodos01
228,Joe Ingles,Projected,3.5,8.3,2.1,5.3,1,1.2,0.7,4.5,5.7,1.2,0.2,2.2,2.9,10,0.419,0.385,0.803,inglejo01
229,Brandon Ingram,Projected,8.7,18.1,1.8,5,3.9,4.7,0.9,5.8,5.9,0.9,0.7,3.2,2.6,23.1,0.481,0.366,0.825,ingrabr01
230,Harrison Ingram,Projected,5.6,11.7,1.7,4.8,2.1,2.7,1.8,7.2,3.9,1.6,0.6,1.9,2.6,15,0.479,0.356,0.786,ingraha01
231,Kyrie Irving,Projected,9.1,19,2.9,7.3,3.7,4,1.1,4.9,4.8,1.3,0.5,2.1,2.1,24.7,0.478,0.395,0.905,irvinky01
232,Jonathan Isaac,Projected,5,11.2,1.5,4.9,2.4,3.4,3.5,10,1.5,1.9,2.5,1.2,2.8,13.8,0.446,0.299,0.699,isaacjo01
233,Jaden Ivey,Projected,7.1,15.8,2.2,5.9,3.7,4.9,1.5,4.8,5,1,0.5,3.2,3.1,20.1,0.451,0.374,0.752,iveyja01
234,Andre Jackson Jr.,Projected,3.8,7.7,1.2,3.1,0.7,1.1,2.4,6.9,3.2,1.2,0.5,2,4.3,9.5,0.487,0.391,0.628,jacksan01
235,GG Jackson II,Projected,6.7,15.6,2.7,7.6,2.9,3.9,1.8,6.6,2.3,0.9,0.6,2.1,2.1,19,0.426,0.363,0.758,jacksgg01
236,Isaiah Jackson,Projected,6.8,11.3,0.4,1.3,3.2,4.7,3.8,10.1,2.6,1.4,2.6,1.9,5.3,17.2,0.6,0.328,0.688,jacksis01
237,Jaren Jackson Jr.,Projected,9.2,19.2,2.2,6.2,5.2,6.5,1.5,6.8,2.5,1.4,2,2.5,4.1,25.8,0.48,0.361,0.793,jacksja02
238,Quenton Jackson,Projected,5.6,11.9,1.5,4.2,2.9,3.7,1.4,4.9,4.7,1.7,0.5,1.7,3.6,15.8,0.473,0.363,0.782,jacksqu01
239,Reggie Jackson,Projected,5.9,14.1,2.1,6,1.4,1.8,0.7,3.6,5.2,1,0.3,2.1,3,15.3,0.417,0.343,0.811,jacksre01
240,Trayce Jackson-Davis,Projected,6.9,11.3,0.2,0.6,2.3,3.9,4.2,11,3.5,0.9,1.7,1.7,2.9,16.2,0.609,0.325,0.595,jackstr02
241,Bronny James,Projected,5.3,13.2,2,5.9,2.4,3,1.2,5.2,4.3,1.6,0.7,2.3,2.6,15,0.4,0.329,0.792,jamesbr02
242,LeBron James,Projected,9.4,18.6,2.1,5.8,3.9,5.1,1,7.6,8,1.1,0.6,3.7,1.5,24.8,0.505,0.368,0.761,jamesle01
243,Jaime Jaquez Jr.,Projected,5.8,12.1,1.1,3.4,2.7,3.4,1.9,6.5,4,1.5,0.4,2.2,2.4,15.4,0.481,0.327,0.782,jaqueja01
244,DaQuan Jeffries,Projected,4.3,10.3,1.9,5.6,1,1.3,1.3,4.8,2.1,0.9,0.8,1.3,3.2,11.4,0.415,0.335,0.775,jeffrda01
245,Trey Jemison,Projected,4.6,8.7,0.4,1.1,1.5,2.6,3.6,8.7,2.1,0.9,1.4,2.1,4.9,11.1,0.532,0.366,0.586,jemistr01
246,Daniss Jenkins,Projected,6.1,13.6,2,6.2,2.3,3.2,1.5,6.3,4.1,1.1,0.6,2,2.8,16.5,0.452,0.321,0.694,jenkida01
247,Ty Jerome,Projected,7.8,15.3,2.7,6.2,3.1,3.6,1.3,4.6,5.9,1.8,0.2,2.3,2.7,21.3,0.51,0.428,0.866,jeromty01
248,Isaiah Joe,Projected,5.8,12.9,4,9.7,1.2,1.5,0.9,4.6,2.7,1.1,0.3,1,2.4,16.9,0.451,0.415,0.826,joeis01
249,AJ Johnson,Projected,5.1,12.2,1.5,5.1,2,2.4,0.7,4.1,4.3,0.8,0.3,1.9,2.7,13.7,0.417,0.3,0.848,johnsaj01
250,Cameron Johnson,Projected,6.8,14.5,3.1,7.9,3.3,3.8,1.1,5.3,3.6,1.1,0.5,1.7,2.2,19.9,0.466,0.389,0.866,johnsca02
251,Jalen Johnson,Projected,7.2,14.1,1.3,3.9,2.4,3.2,1.6,9.7,4.5,1.4,1,2.4,2.3,18.1,0.51,0.337,0.741,johnsja05
252,James Johnson,Projected,5.3,12.1,1.3,4.5,1.9,2.6,1.2,6,4,1.2,1,2.5,4,13.8,0.436,0.294,0.723,johnsja01
253,Keldon Johnson,Projected,7.3,15.5,2,5.9,3.1,4,1.9,6.9,2.9,0.9,0.4,1.7,2.4,19.7,0.473,0.334,0.778,johnske04
254,Keon Johnson,Projected,5.8,14.4,2.4,7.3,2.2,2.8,1.2,5.7,3.4,1.5,0.6,2.2,3.7,16.2,0.404,0.328,0.778,johnske07
255,Keshad Johnson,Projected,6.5,11.9,1.7,4.5,2.2,3.3,1.9,8.1,3.1,1.5,1,1.9,3.2,16.8,0.542,0.382,0.662,johnske10
256,Nikola Jokić,Projected,10.6,18.4,1.6,4,4.9,6,2.8,12.3,9.6,1.6,0.7,3.2,2.4,27.7,0.578,0.397,0.806,jokicni01
257,Colby Jones,Projected,4.8,10.4,1.2,3.9,1.8,2.6,1.8,6.5,3.4,1.7,0.9,1.7,2.9,12.6,0.46,0.316,0.688,jonesco02
258,Derrick Jones Jr.,Projected,5.6,10.9,1.6,4.4,1.8,2.5,1.8,5.2,1.4,1.4,0.8,1.3,2.8,14.5,0.51,0.352,0.715,jonesde02
259,Dillon Jones,Projected,4.1,9.7,1.3,4.4,1.5,2.2,1.9,7.7,3.9,1.1,0.4,1.9,3.3,10.9,0.418,0.291,0.674,jonesdi01
260,Herbert Jones,Projected,4.6,9.6,1.5,4.1,2.1,2.5,1.3,4.5,3.3,1.8,0.8,1.6,3.5,12.7,0.476,0.375,0.832,joneshe01
261,Isaac Jones,Projected,6.4,11.1,1,2.6,2.7,3.9,2.3,6.8,2.3,0.8,1,2,3.2,16.5,0.578,0.37,0.686,jonesis01
262,Kai Jones,Projected,6.4,9.5,0.5,1.7,1.9,2.6,2.7,8.8,2.3,1.2,1.6,1.6,3.6,15.2,0.672,0.329,0.743,joneska01
263,Mason Jones,Projected,6.2,13.3,1.8,5.9,2.6,3.4,1.6,6.7,5.1,1,0.7,1.9,2.8,16.8,0.467,0.305,0.773,jonesma05
264,Spencer Jones,Projected,5,11.8,1.3,5.3,1.8,2.2,2,6,2.9,1.3,1,1.8,3.6,13.1,0.424,0.247,0.822,jonessp01
265,Tre Jones,Projected,5.4,10.5,1,2.8,2.1,2.5,1.1,4.9,7.7,1.4,0.3,1.7,1.9,13.8,0.509,0.35,0.838,jonestr01
266,Tyus Jones,Projected,5.4,11.9,2.5,6,0.9,1.1,0.6,3.5,7.5,1.2,0.2,1.5,1,14.2,0.459,0.407,0.846,jonesty01
267,DeAndre Jordan,Projected,5,8.3,0.3,0.8,1.7,3.5,3.9,13.1,2.8,0.8,1.3,2.2,4,12,0.603,0.354,0.479,jordade01
268,Cory Joseph,Projected,4,9.8,2.1,5.9,1.2,1.5,1,4.3,4.6,1.2,0.3,1.4,2.9,11.3,0.411,0.356,0.764,josepco01
269,Nikola Jović,Projected,5.5,11.8,2.5,6.4,2.1,2.6,1,6.4,4,1.2,0.5,1.8,2.7,15.6,0.468,0.386,0.811,jovicni01
270,Johnny Juzang,Projected,5.8,13.2,3.2,8.4,1.4,1.7,1.2,5.3,2.2,1,0.3,1.1,3.3,16.2,0.442,0.382,0.824,juzanjo01
271,Yuki Kawamura,Projected,5.6,12.7,2.3,6.8,2.6,3.4,1.1,6,5.3,1.1,0.5,2,2.8,16.1,0.442,0.341,0.785,kawamyu01
272,Kylor Kelley,Projected,5.3,10.3,1.2,3.2,2.2,3.1,2.4,8.5,2.9,0.8,0.8,1.7,3.4,13.9,0.512,0.361,0.708,kelleky01
273,Luke Kennard,Projected,5.1,10.9,3,6.9,1.4,1.5,0.8,4.5,4.8,1.1,0.2,1.8,1.6,14.6,0.471,0.438,0.881,kennalu01
274,Walker Kessler,Projected,5.9,8.9,0.2,0.8,1.6,2.9,4.9,13.5,2,0.8,3.1,1.7,2.9,13.6,0.658,0.256,0.559,kesslwa01
275,Braxton Key,Projected,5.6,12.8,1.7,4.8,3.1,4.4,1.7,7.1,3.9,1.4,0.7,1.9,2.7,16.1,0.441,0.354,0.714,keybr01
276,Corey Kispert,Projected,6.1,12.8,2.9,7.5,1.8,2.3,0.7,4.1,2.5,0.7,0.3,1.5,2.2,16.8,0.473,0.38,0.799,kispeco01
277,Maxi Kleber,Projected,2.8,6.7,1.1,3.6,1.2,1.7,1.3,5.6,2.6,0.6,1,1.3,3.5,8,0.42,0.316,0.736,klebima01
278,Bobi Klintman,Projected,6.1,12.4,2,5.3,2.2,3,1.5,6.6,4.5,1.4,0.8,1.8,3.5,16.5,0.498,0.378,0.756,klintbo01
279,Dalton Knecht,Projected,6.3,13.4,3,7.9,1.7,2.2,1,5.4,1.9,0.7,0.3,1,2.3,17.3,0.47,0.383,0.77,knechda01
280,Kevin Knox,Projected,6.1,12.8,2.1,6.1,1.9,2.3,1.5,6,2.1,0.9,0.7,1.7,3.1,16.1,0.474,0.338,0.807,knoxke01
281,Tyler Kolek,Projected,4.4,11.1,1.8,5.6,2,2.5,1.2,4.5,7,1.4,0.6,2.1,3,12.6,0.396,0.327,0.778,kolekty01
282,Christian Koloko,Projected,4.6,8.6,0.5,1.7,1.6,2.2,3.2,8.6,2.2,1,1.6,1.4,4.3,11.3,0.536,0.301,0.723,kolokch01
283,John Konchar,Projected,3.2,7.1,1.4,4.1,0.8,1,2.1,8.3,3,1.7,1.1,1.3,2.4,8.5,0.441,0.345,0.816,konchjo01
284,Luke Kornet,Projected,5.1,7.9,0.2,0.5,1.8,2.4,4.5,9.7,3,0.9,1.9,0.9,3.1,12.2,0.647,0.326,0.744,kornelu01
285,Vit Krejci,Projected,4.5,9.2,2.6,6,1,1.4,0.8,4.9,4.3,1.1,0.7,1.6,3.2,12.7,0.496,0.43,0.736,krejcvi01
286,Jonathan Kuminga,Projected,8.1,16.3,1.3,4,4.3,6.1,1.8,6.8,3.3,1.1,0.7,2.2,3,21.9,0.499,0.329,0.707,kuminjo01
287,Kyle Kuzma,Projected,7.8,17.5,2.1,6.4,2.6,3.7,1,7,3.5,0.7,0.5,2.8,2.3,20.3,0.447,0.321,0.693,kuzmaky01
288,Jock Landale,Projected,5.7,11.1,0.8,2.5,2.3,3.1,3.8,8.9,2.9,0.9,1,1.7,3.6,14.6,0.515,0.335,0.74,landajo01
289,Jake LaRavia,Projected,4.7,10.2,1.8,4.6,2.5,3.4,2.3,6.7,3.8,1.5,0.6,2.2,3.3,13.7,0.457,0.395,0.737,laravja01
290,Pelle Larsson,Projected,4.5,10,1.6,4.6,2,2.9,1.4,4.7,3.2,1.5,0.4,1.3,3.9,12.7,0.453,0.349,0.7,larsspe01
291,Zach LaVine,Projected,8.3,16.7,3,7.2,3.4,4.1,0.4,4.6,4.2,0.8,0.2,2.7,1.9,23.1,0.497,0.421,0.829,lavinza01
292,A.J. Lawson,Projected,6.2,13.9,2.2,6.8,2.8,4,1.6,6.4,2.6,1.1,0.5,1.4,3,17.3,0.443,0.329,0.693,lawsoaj01
293,Damion Lee,Projected,5.7,13.5,2.3,6.6,3,3.4,1.1,5.6,2.9,1,0.3,2.1,2.5,16.7,0.419,0.348,0.885,leeda03
294,Alex Len,Projected,4,7.7,0.5,1.6,1.4,2.3,3.3,8.9,3.7,0.9,1.9,2.1,4.9,9.9,0.517,0.305,0.607,lenal01
295,Kawhi Leonard,Projected,9.1,18.1,2.2,5.5,3.5,4.1,1.2,6.5,3.7,1.7,0.7,2,1.7,24,0.503,0.405,0.847,leonaka01
296,Malevy Leons,Projected,5.6,12.2,1.8,5.2,2.6,3.7,1.7,6.5,3.7,1.1,0.7,2.1,3.2,15.6,0.457,0.35,0.724,leonsma01
297,Caris LeVert,Projected,6.1,13.8,2.2,6.1,2.5,3.5,0.9,4.8,5.2,1.3,0.7,1.9,2.3,17,0.445,0.357,0.731,leverca01
298,Maxwell Lewis,Projected,5.1,11.9,1.9,5.3,1.3,1.8,1.8,5.9,2.7,1.1,0.7,1.9,2.9,13.5,0.431,0.368,0.751,lewisma05
299,E.J. Liddell,Projected,5.9,12.4,1.9,5.9,2.3,2.8,1.7,6.6,3.4,1.2,0.8,2,3.8,16,0.475,0.327,0.821,liddeej01
300,Damian Lillard,Projected,7.6,17.5,3.2,9,6.3,6.9,0.6,4.6,6.9,1.1,0.2,2.8,1.8,24.8,0.435,0.361,0.915,lillada01
301,Dereck Lively II,Projected,6.1,8.8,0.2,0.6,1.8,2.8,4,11,3,1,2.2,1.6,3.9,14.3,0.695,0.361,0.622,livelde01
302,Chris Livingston,Projected,5,11.3,1.1,4,2.9,3.8,2.2,8.8,3,1.3,0.4,2,3.1,14.1,0.448,0.28,0.773,livinch01
303,Kevon Looney,Projected,4.5,8.4,0.2,0.5,1.8,2.9,5,13.3,3.8,1.2,1,1.3,4.6,11,0.541,0.362,0.614,looneke01
304,Brook Lopez,Projected,5.6,11.4,2,5.5,1.7,2.1,1.7,5.9,2,0.7,2.3,1.3,2.7,14.9,0.494,0.362,0.811,lopezbr01
305,Kevin Love,Projected,5.7,14.2,3,8.8,2.7,3.5,2.2,11.7,3.8,1,0.5,2,3.3,17.2,0.405,0.339,0.773,loveke01
306,Kyle Lowry,Projected,3.3,8.3,1.9,5.4,1.6,2,0.8,4.2,5.2,1.4,0.5,1.7,3.2,10.1,0.401,0.352,0.822,lowryky01
307,Trey Lyles,Projected,4.5,10.4,2.3,6.5,1.7,2.4,2,8.2,2.3,0.9,0.6,1.2,2.5,13,0.433,0.353,0.722,lylestr01
308,Sandro Mamukelashvili,Projected,6.8,13.9,2.6,7.1,2.3,3,3.2,9.9,3.1,1,0.9,1.5,3,18.5,0.49,0.36,0.744,mamuksa01
309,Terance Mann,Projected,5.2,10.3,1.5,4.1,1.4,1.9,1.7,5.1,2.9,1,0.4,1.2,3,13.3,0.502,0.362,0.755,mannte01
310,Tre Mann,Projected,6.4,14.2,2.2,5.8,1.9,2.3,1.1,5.2,5,1.4,0.3,2.3,2.3,16.8,0.448,0.375,0.812,manntr01
311,Lauri Markkanen,Projected,7.8,17.2,3.3,8.9,4.4,5,2,7.7,2,0.9,0.5,1.7,2,23.2,0.453,0.368,0.88,markkla01
312,Naji Marshall,Projected,6.2,12.6,1.3,4.2,2.4,3,1.4,6.3,3.8,1.3,0.3,2,2.2,16,0.491,0.308,0.804,marshna01
313,Caleb Martin,Projected,4.4,10.2,1.4,3.9,1.7,2.5,1.5,5.6,2.8,1.2,0.6,1.6,2.6,11.9,0.434,0.353,0.695,martica02
314,Cody Martin,Projected,4.3,10.4,1.4,4.6,1.4,1.9,1.5,6.5,3.7,1.6,0.9,1.7,2.8,11.3,0.415,0.297,0.697,martico01
315,Jaylen Martin,Projected,5.4,12,1.5,4.3,1.9,2.3,1.7,6.8,3.2,1.3,0.3,1.9,2.3,14.2,0.453,0.345,0.835,martija02
316,KJ Martin,Projected,5.1,9.3,0.8,2.6,1.7,2.4,1.6,5.9,2.2,0.8,0.7,1.3,3.7,12.7,0.549,0.301,0.716,martike04
317,Tyrese Martin,Projected,5.3,12.8,2.6,7.4,1.4,1.8,1.6,6.1,3.4,1,0.3,2,2.2,14.7,0.417,0.355,0.795,martity01
