RNK,Value,Name,Status,G,M,PTS,TPM,REB,AST,STL,BLK,TOV,FG%,FGA,FT%,FTA,zPTS,zTPM,zAST,zREB,zSTL,zBLK,zTOV,zFG%,zFT%
304,-0.2,Craig Porter Jr.,,48,17.2,7.9,0.76,2.34,2.3,0.55,0.42,1.2,48%,6.04,74%,1.82,-0.25,-0.39,0.07,-0.58,-0.33,-0.03,-0.03,0.09,-0.33
305,-0.2,Kyle Kuzma,,71,32.3,16.1,1.7,4.5,2.91,0.55,0.48,2.67,46%,13.17,66%,3.44,0.99,0.63,0.39,0.3,-0.33,0.11,-1.83,-0.3,-1.79
306,-0.2,Nicolas Batum,,60,17.8,3.9,1.09,2.92,1.07,0.54,0.43,0.43,41%,3.17,82%,0.22,-0.85,-0.04,-0.59,-0.34,-0.35,-0.01,0.91,-0.46,-0.09
307,-0.21,Keon Johnson,Status$,61,18.3,8.3,1.28,2.33,1.59,0.81,0.31,1.16,41%,7.3,78%,1.44,-0.19,0.17,-0.31,-0.59,0.33,-0.29,0.02,-0.98,-0.02
308,-0.21,Danté Exum,Status$,52,19.8,7.4,0.92,1.87,2.49,0.6,0.17,0.99,48%,5.91,75%,1.18,-0.32,-0.22,0.17,-0.77,-0.2,-0.62,0.23,0.09,-0.21
309,-0.21,Ajay Mitchell,,66,16.2,6.7,0.76,1.91,1.73,0.59,0.11,0.69,49%,5.17,81%,1.11,-0.43,-0.39,-0.24,-0.76,-0.23,-0.76,0.6,0.18,0.1
310,-0.21,Simone Fontecchio,,69,19.8,6.8,1.16,3.31,1.06,0.53,0.2,0.83,44%,5.47,82%,1,-0.42,0.04,-0.6,-0.18,-0.38,-0.55,0.42,-0.4,0.13
311,-0.22,Vít Krejčí,Status$,69,17.3,5.4,1.2,2.53,1.79,0.5,0.25,0.7,45%,4.27,76%,0.53,-0.63,0.08,-0.21,-0.5,-0.45,-0.43,0.58,-0.23,-0.16
312,-0.22,Josh Okogie,,51,17.8,6.3,0.71,2.46,1.04,0.89,0.49,0.78,42%,4.79,73%,2.1,-0.49,-0.44,-0.61,-0.53,0.53,0.13,0.49,-0.56,-0.46
313,-0.22,Corey Kispert,,59,21.3,8.3,1.45,2.22,1.3,0.31,0.19,0.8,46%,6.36,81%,1.28,-0.19,0.36,-0.47,-0.63,-0.93,-0.58,0.46,-0.18,0.14
314,-0.22,Eric Gordon,,39,19.7,5.9,1.34,1.13,1.67,0.73,0.29,0.71,42%,4.69,76%,0.78,-0.55,0.23,-0.27,-1.08,0.13,-0.34,0.57,-0.55,-0.16
315,-0.23,DaRon Holmes II,,52,14.2,6.8,0.18,3.27,0.81,0.33,0.67,0.87,56%,4.73,71%,1.84,-0.42,-1.02,-0.73,-0.2,-0.88,0.56,0.38,0.87,-0.6
316,-0.24,Tristan Vukcevic,,44,12.8,5.9,0.7,3.17,0.98,0.32,0.56,0.9,49%,4.48,77%,1.02,-0.55,-0.46,-0.64,-0.24,-0.91,0.3,0.34,0.15,-0.11
317,-0.24,Quenton Jackson,,28,13.9,5.9,0.53,1.52,2.18,0.66,0.16,0.63,48%,4.32,77%,1.58,-0.55,-0.64,0,-0.92,-0.05,-0.65,0.67,0.05,-0.09
318,-0.24,Devin Carter,,61,16.8,5.8,0.75,2.74,1.39,0.91,0.36,0.84,43%,5.06,65%,1.07,-0.57,-0.4,-0.42,-0.42,0.58,-0.17,0.41,-0.48,-0.72
319,-0.24,Tim Hardaway Jr.,Status$,70,19.2,8.4,1.64,1.7,0.99,0.35,0.08,0.4,42%,6.83,86%,1.15,-0.17,0.56,-0.64,-0.84,-0.83,-0.83,0.95,-0.77,0.38
320,-0.25,Javonte Green,,76,14.2,4.4,0.47,2.84,0.57,0.68,0.26,0.38,50%,3.42,74%,0.68,-0.78,-0.71,-0.86,-0.38,0,-0.41,0.97,0.17,-0.22
321,-0.25,Jordan Hawkins,,69,19.7,8.8,1.68,2.32,1,0.46,0.3,0.83,40%,7.65,81%,1.19,-0.11,0.61,-0.63,-0.59,-0.55,-0.32,0.42,-1.19,0.12
322,-0.25,Maxime Raynaud,,51,15.2,5.2,0.55,4.31,0.83,0.34,0.52,0.86,47%,4.38,75%,0.68,-0.66,-0.62,-0.72,0.22,-0.86,0.2,0.39,-0.05,-0.19
323,-0.26,Jabari Walker,,46,15.8,6.1,0.52,4.25,0.75,0.5,0.13,0.62,52%,4.37,71%,1.4,-0.52,-0.66,-0.76,0.2,-0.45,-0.72,0.68,0.42,-0.49
324,-0.26,Terry Rozier,,67,21.4,7.8,1.25,2.98,1.93,0.49,0.13,0.87,40%,7.12,83%,1.03,-0.26,0.14,-0.13,-0.32,-0.48,-0.72,0.38,-1.11,0.18
325,-0.26,Justin Edwards,,72,18.3,6.6,1.08,2.27,0.94,0.65,0.27,0.81,45%,5.68,72%,0.62,-0.45,-0.04,-0.66,-0.61,-0.08,-0.39,0.45,-0.29,-0.27
326,-0.26,Tristan da Silva,Status$,71,18.3,6.1,0.88,2.68,1.21,0.41,0.22,0.54,44%,5.24,86%,0.66,-0.52,-0.26,-0.52,-0.44,-0.68,-0.5,0.78,-0.38,0.15
327,-0.26,Gabe Vincent,,61,18.2,6.1,1.64,1.11,0.98,0.53,0.15,0.36,42%,5.09,85%,0.24,-0.52,0.56,-0.64,-1.08,-0.38,-0.67,1,-0.59,-0.05
328,-0.27,Sandro Mamukelashvili,,52,12.2,5.1,0.68,3.21,0.86,0.31,0.31,0.42,50%,3.97,74%,0.69,-0.67,-0.48,-0.71,-0.23,-0.93,-0.29,0.93,0.21,-0.22
329,-0.27,Jonathan Mogbo,,61,15.8,4.7,0.2,3.87,1.63,0.61,0.42,0.9,44%,4.46,73%,0.73,-0.73,-1,-0.29,0.04,-0.18,-0.03,0.34,-0.33,-0.26
330,-0.27,N'Faly Dante,,49,9.8,4.1,0,3.52,0.46,0.26,0.57,0.58,68%,2.62,66%,0.75,-0.82,-1.22,-0.92,-0.1,-1.06,0.32,0.73,1.13,-0.51
331,-0.27,Julian Phillips,,49,13.8,4.9,0.64,2.03,0.49,0.49,0.27,0.33,48%,3.67,84%,0.91,-0.7,-0.52,-0.9,-0.71,-0.48,-0.39,1.04,0.03,0.19
332,-0.27,Rasheer Fleming,,51,14.8,4.6,0.45,2.84,0.38,0.43,0.67,0.81,51%,3.66,71%,0.55,-0.75,-0.73,-0.96,-0.38,-0.63,0.56,0.45,0.27,-0.29
333,-0.28,Jalen Wilson,Status$,74,18.2,7.8,1.47,2.58,1.33,0.36,0.08,0.71,40%,6.09,82%,1.73,-0.26,0.38,-0.45,-0.48,-0.81,-0.83,0.57,-0.96,0.33
334,-0.28,Cam Spencer,,27,11.1,5.4,1.02,1.4,1.7,0.41,0.06,0.34,44%,4.11,87%,0.82,-0.63,-0.11,-0.26,-0.97,-0.68,-0.88,1.02,-0.31,0.27
335,-0.29,Josh Green,,58,19.6,5.1,0.87,2.67,1.19,0.79,0.13,0.93,44%,4.28,75%,0.65,-0.67,-0.27,-0.53,-0.45,0.28,-0.72,0.3,-0.32,-0.19
336,-0.29,Georges Niang,Status$,39,14.7,7.6,1.64,2.15,1.04,0.27,0.13,0.74,45%,6.05,79%,0.61,-0.29,0.57,-0.61,-0.66,-1.03,-0.72,0.53,-0.3,-0.07
337,-0.29,Kenrich Williams,,48,14.2,4.8,0.69,2.76,1.18,0.53,0.09,0.47,50%,3.91,66%,0.37,-0.72,-0.47,-0.53,-0.41,-0.38,-0.81,0.86,0.2,-0.33
338,-0.29,Jaylen Clark,,69,13.8,4.1,0.46,1.56,0.94,0.88,0.08,0.37,46%,3.16,78%,0.91,-0.82,-0.72,-0.66,-0.9,0.5,-0.83,0.99,-0.12,-0.07
339,-0.3,Nigel Hayes-Davis,,48,13.7,5.4,0.86,2.5,0.94,0.59,0.18,0.85,43%,4.38,86%,0.9,-0.63,-0.28,-0.66,-0.52,-0.23,-0.6,0.4,-0.42,0.27
340,-0.3,Dalton Knecht,,74,15.8,7.8,1.43,2.29,0.64,0.22,0.1,0.43,46%,6.37,76%,0.68,-0.26,0.33,-0.82,-0.6,-1.16,-0.79,0.91,-0.18,-0.16
341,-0.3,Rob Dillingham,,64,18.8,8.2,0.88,1.99,3.23,0.74,0.06,1.7,45%,7.38,71%,0.92,-0.2,-0.26,0.56,-0.72,0.15,-0.88,-0.64,-0.35,-0.38
342,-0.31,Oscar Tshiebwe,,43,9.8,4.2,0,4.04,0.37,0.43,0.19,0.44,61%,2.84,71%,1,-0.81,-1.22,-0.97,0.11,-0.63,-0.58,0.9,0.8,-0.39
343,-0.31,Maxime Raynaud,,48,15.7,6.4,0.68,4.55,1.56,0.41,0.58,1.52,44%,5.67,66%,1.05,-0.48,-0.48,-0.33,0.32,-0.68,0.34,-0.42,-0.41,-0.66
344,-0.31,Dominick Barlow,,31,11.9,4.1,0.18,2.49,0.63,0.3,0.48,0.24,57%,2.88,68%,0.9,-0.82,-1.03,-0.83,-0.52,-0.96,0.11,1.15,0.57,-0.5
345,-0.32,Jared Butler,,33,11.8,5.4,0.69,1.23,2.47,0.48,0.16,0.95,47%,4.39,81%,0.71,-0.63,-0.47,0.16,-1.04,-0.5,-0.65,0.28,-0.05,0.01
346,-0.33,Jock Landale,,51,11.1,4.3,0.21,3.09,0.88,0.25,0.35,0.5,53%,3.27,77%,0.79,-0.79,-0.99,-0.69,-0.27,-1.08,-0.2,0.83,0.37,-0.12
347,-0.33,Caleb Martin,,63,16.8,4.8,0.55,2.48,1.34,0.59,0.37,0.8,43%,4.12,72%,0.97,-0.72,-0.62,-0.45,-0.52,-0.23,-0.15,0.46,-0.4,-0.34
348,-0.33,Jericho Sims,,47,12.8,2.6,0,4.32,0.6,0.22,0.43,0.65,68%,1.77,63%,0.25,-1.05,-1.22,-0.84,0.23,-1.16,-0.01,0.64,0.74,-0.31
349,-0.33,Christian Koloko,,19,9.8,2.9,0.02,2.69,0.39,0.25,0.63,0.29,61%,2.07,66%,0.53,-1.01,-1.2,-0.96,-0.44,-1.08,0.46,1.08,0.57,-0.41
350,-0.34,GG Jackson,,61,16.7,7.8,1.17,3.53,0.9,0.38,0.27,1.06,41%,6.89,77%,1.38,-0.26,0.05,-0.68,-0.09,-0.76,-0.39,0.14,-0.93,-0.09
351,-0.34,Dario Šarić,Status$,34,16.7,5.5,0.78,3.99,1.74,0.49,0.1,1.21,43%,4.75,76%,0.98,-0.61,-0.37,-0.23,0.09,-0.48,-0.79,-0.04,-0.45,-0.16
352,-0.34,Brandon Williams,,17,16.7,8.3,0.77,1.91,2.58,0.67,0.22,1.38,42%,6.96,74%,2.3,-0.19,-0.38,0.22,-0.76,-0.02,-0.5,-0.25,-0.79,-0.38
353,-0.34,Nikola Topić,,61,15.7,6.1,0.7,1.78,3.14,0.48,0.1,1.27,43%,5.37,82%,0.99,-0.52,-0.45,0.52,-0.81,-0.5,-0.79,-0.11,-0.51,0.12
354,-0.34,Steven Adams,,68,16.7,5.1,0,6.85,1.09,0.51,0.6,0.98,56%,3.93,43%,1.68,-0.67,-1.21,-0.58,1.26,-0.43,0.39,0.24,0.71,-2.78
355,-0.34,John Konchar,,37,11.2,2,0.41,3.15,0.85,0.54,0.24,0.41,42%,1.7,85%,0.16,-1.14,-0.77,-0.71,-0.25,-0.35,-0.46,0.94,-0.24,-0.09
356,-0.36,Kobe Bufkin,,43,13.2,6.2,0.75,2.2,1.78,0.39,0.23,0.83,44%,5.35,74%,1.09,-0.51,-0.41,-0.21,-0.64,-0.73,-0.48,0.42,-0.39,-0.26
357,-0.36,Svi Mykhailiuk,Status$,46,15.2,6.8,1.42,1.81,1.58,0.38,0.1,0.8,41%,5.92,77%,0.7,-0.42,0.32,-0.32,-0.8,-0.76,-0.79,0.46,-0.81,-0.12
358,-0.36,Jeremiah Fears,,63,19.7,9.2,0.77,2.57,2.52,0.91,0.12,2.48,39%,7.85,82%,2.84,-0.05,-0.38,0.18,-0.49,0.58,-0.74,-1.59,-1.39,0.64
359,-0.37,Kyle Lowry,,38,14.3,2.6,0.57,1.45,2.04,0.54,0.2,0.48,36%,2.21,84%,0.45,-1.05,-0.6,-0.07,-0.95,-0.35,-0.55,0.85,-0.58,0.01
360,-0.37,James Wiseman,,47,12.8,5.5,0.11,3.9,0.53,0.13,0.44,0.82,56%,4.04,69%,1.25,-0.61,-1.1,-0.88,0.06,-1.38,0.01,0.44,0.74,-0.57
361,-0.37,Noa Essengue,,55,15.8,7.4,0.52,2.61,0.75,0.53,0.27,0.7,45%,6.04,71%,2.02,-0.32,-0.65,-0.76,-0.47,-0.38,-0.39,0.58,-0.3,-0.64
362,-0.37,Nique Clifford,,73,15.8,5.2,0.72,3.16,1.45,0.49,0.26,1.15,43%,4.58,72%,0.85,-0.66,-0.43,-0.39,-0.25,-0.48,-0.41,0.03,-0.44,-0.32
363,-0.37,Liam McNeeley,,68,17.3,6,1.06,2.87,1.11,0.35,0.14,1.05,40%,5.05,86%,1.11,-0.54,-0.07,-0.57,-0.36,-0.83,-0.69,0.15,-0.81,0.37
364,-0.38,Pelle Larsson,,71,14.8,5.5,0.64,1.87,1.41,0.62,0.12,0.59,45%,4.38,68%,1.29,-0.61,-0.52,-0.41,-0.77,-0.15,-0.74,0.72,-0.24,-0.65
365,-0.38,Nae'Qwan Tomlin,,17,11.9,5.8,0.39,2.86,0.46,0.34,0.3,0.48,45%,4.77,76%,1.53,-0.57,-0.8,-0.92,-0.37,-0.86,-0.32,0.85,-0.25,-0.16
366,-0.38,Leonard Miller,,42,8.1,4.8,0.25,2.59,0.32,0.24,0.24,0.38,51%,3.22,79%,1.61,-0.72,-0.95,-0.99,-0.48,-1.11,-0.46,0.97,0.23,0.07
367,-0.38,Spencer Dinwiddie,Status$,61,15.8,6.1,0.81,1.52,2.15,0.45,0.14,0.8,41%,4.99,76%,1.54,-0.52,-0.34,-0.01,-0.92,-0.58,-0.69,0.46,-0.69,-0.16
368,-0.38,Jase Richardson,,74,14.2,5.4,0.71,1.52,0.91,0.39,0.15,0.69,47%,4.25,81%,0.94,-0.63,-0.45,-0.68,-0.92,-0.73,-0.67,0.6,-0.05,0.06
369,-0.39,Amari Williams,,44,12.2,5.1,0.04,3.61,1.04,0.36,0.65,1.12,50%,4.02,65%,1.52,-0.67,-1.18,-0.61,-0.06,-0.81,0.51,0.07,0.21,-0.95
370,-0.39,Orlando Robinson,,14,11.8,4,0.25,3.31,1.04,0.26,0.27,0.71,48%,3.28,77%,0.76,-0.84,-0.95,-0.61,-0.18,-1.06,-0.39,0.57,0.02,-0.12
371,-0.4,Ariel Hukporti,Status$,42,11.1,3.5,0,2.79,0.51,0.22,0.62,0.82,67%,2.26,59%,0.77,-0.91,-1.22,-0.89,-0.4,-1.16,0.44,0.44,0.92,-0.78
372,-0.4,Branden Carlson,,16,7.9,3.5,0.63,1.54,0.4,0.14,0.55,0.32,46%,2.75,75%,0.5,-0.91,-0.54,-0.95,-0.91,-1.36,0.27,1.05,-0.11,-0.18
373,-0.41,Asa Newell,,44,11.8,4.3,0.4,2.61,0.42,0.36,0.4,0.51,42%,3.8,76%,0.92,-0.79,-0.79,-0.94,-0.47,-0.81,-0.08,0.82,-0.46,-0.16
374,-0.41,Gui Santos,Status$,66,11.8,3.7,0.53,2.75,1.19,0.36,0.15,0.61,44%,2.9,75%,0.74,-0.88,-0.64,-0.53,-0.41,-0.81,-0.67,0.69,-0.24,-0.19
375,-0.42,Johni Broome,,18,10.8,4,0.1,2.68,0.52,0.29,0.55,0.67,51%,3.34,64%,0.81,-0.84,-1.11,-0.89,-0.44,-0.98,0.27,0.62,0.24,-0.62
376,-0.42,Duop Reath,,41,9.1,4.1,0.69,1.8,0.44,0.24,0.29,0.37,46%,3.4,76%,0.44,-0.82,-0.47,-0.93,-0.8,-1.11,-0.34,0.99,-0.12,-0.16
377,-0.42,Jae'Sean Tate,,51,12.2,3.7,0.36,2.18,0.93,0.47,0.18,0.42,46%,3.18,67%,0.61,-0.88,-0.83,-0.67,-0.65,-0.53,-0.6,0.93,-0.12,-0.42
378,-0.42,Gary Harris,Status$,51,14.2,2.8,0.64,1.14,0.72,0.54,0.2,0.32,41%,2.51,70%,0.13,-1.02,-0.52,-0.78,-1.07,-0.35,-0.55,1.05,-0.38,-0.19
379,-0.43,Maxi Kleber,Status$,46,14.2,2.8,0.45,1.9,0.86,0.22,0.44,0.44,43%,2.27,76%,0.54,-1.02,-0.73,-0.71,-0.76,-1.16,0.01,0.9,-0.25,-0.16
380,-0.43,Nolan Traore,,58,18.8,7.2,1.05,1.53,3.52,0.48,0.24,1.85,40%,6.73,71%,1.18,-0.35,-0.08,0.72,-0.91,-0.5,-0.46,-0.82,-1.05,-0.44
381,-0.43,Cody Williams,,73,20.4,6.3,1.12,2.14,1.43,0.43,0.31,0.83,36%,6.25,72%,0.95,-0.49,0,-0.4,-0.66,-0.63,-0.29,0.42,-1.52,-0.34
382,-0.43,Keaton Wallace,,15,9.8,3.4,0.51,1,1.98,0.51,0.15,0.68,40%,3.38,85%,0.29,-0.93,-0.67,-0.11,-1.13,-0.43,-0.67,0.61,-0.56,-0.03
383,-0.44,Jordan Walsh,,70,13.8,4.3,0.68,2.87,0.67,0.5,0.31,0.74,39%,4.16,63%,0.64,-0.79,-0.49,-0.81,-0.36,-0.45,-0.29,0.53,-0.77,-0.55
384,-0.44,Kris Murray,,70,15.3,4.5,0.48,2.72,0.92,0.5,0.26,0.64,42%,4.26,61%,0.77,-0.76,-0.7,-0.67,-0.43,-0.45,-0.41,0.66,-0.51,-0.7
385,-0.44,Zeke Nnaji,Status$,21,8.8,2.7,0.28,1.83,0.37,0.25,0.52,0.24,46%,2.09,67%,0.69,-1.04,-0.91,-0.97,-0.79,-1.08,0.2,1.15,-0.1,-0.45
386,-0.44,Tyler Kolek,,54,10.8,3,0.49,0.9,2.7,0.43,0.11,0.63,37%,2.74,79%,0.68,-0.99,-0.69,0.28,-1.17,-0.63,-0.76,0.67,-0.64,-0.06
387,-0.45,Adou Thiero,Status$,71,11.8,3.5,0.22,2.2,0.7,0.48,0.3,0.52,43%,3.01,71%,0.87,-0.91,-0.98,-0.79,-0.64,-0.5,-0.32,0.8,-0.31,-0.36
388,-0.45,Jevon Carter,,15,10.1,4.3,0.92,1.01,1.16,0.37,0.13,0.34,39%,4.09,75%,0.15,-0.79,-0.21,-0.54,-1.13,-0.78,-0.72,1.02,-0.75,-0.16
389,-0.46,Tidjane Salaün,,66,16.2,5.1,0.72,4,1.01,0.3,0.17,0.77,38%,4.44,71%,1.37,-0.67,-0.44,-0.62,0.1,-0.96,-0.62,0.5,-0.91,-0.48
390,-0.46,Dalen Terry,,53,10.8,3.9,0.41,1.5,1.12,0.48,0.15,0.59,46%,3.2,69%,0.82,-0.85,-0.77,-0.57,-0.92,-0.5,-0.67,0.72,-0.12,-0.43
391,-0.46,Sion James,,32,11.1,2.6,0.34,1.82,0.99,0.5,0.14,0.51,43%,2.11,73%,0.55,-1.05,-0.85,-0.64,-0.79,-0.45,-0.69,0.82,-0.24,-0.24
392,-0.46,Kessler Edwards,Status$,48,9.8,2.5,0.42,1.71,0.58,0.34,0.21,0.3,44%,2.15,80%,0.22,-1.07,-0.76,-0.86,-0.84,-0.86,-0.53,1.07,-0.19,-0.11
393,-0.46,PJ Hall,,15,5.9,3.1,0.22,1.68,0.31,0.14,0.32,0.31,55%,2.3,77%,0.47,-0.98,-0.98,-1,-0.85,-1.36,-0.27,1.06,0.34,-0.13
394,-0.46,Lindy Waters III,,48,9.1,3.5,0.87,1.2,0.55,0.27,0.15,0.23,42%,3.03,76%,0.14,-0.91,-0.27,-0.87,-1.05,-1.03,-0.67,1.16,-0.38,-0.16
395,-0.47,Dillon Jones,,51,13.2,3,0.32,2.98,1.44,0.43,0.08,0.71,43%,2.72,64%,0.53,-0.99,-0.88,-0.39,-0.32,-0.63,-0.83,0.57,-0.29,-0.46
396,-0.47,Antonio Reeves,,29,10.8,4.3,0.68,1.07,0.57,0.33,0.07,0.51,47%,3.43,81%,0.55,-0.79,-0.48,-0.86,-1.1,-0.88,-0.86,0.82,-0.05,-0.03
397,-0.47,Bobi Klintman,,26,10.2,3.4,0.37,1.95,0.54,0.38,0.17,0.6,46%,2.77,78%,0.64,-0.93,-0.82,-0.88,-0.74,-0.76,-0.62,0.71,-0.11,-0.1
398,-0.47,Jackson Rowe,,15,7.9,3.1,0.47,1.6,0.49,0.3,0.22,0.32,44%,2.63,76%,0.36,-0.98,-0.71,-0.9,-0.88,-0.96,-0.5,1.05,-0.22,-0.16
399,-0.48,Jaden Hardy,,61,15.2,8,1.2,1.41,1.34,0.4,0.06,1.28,42%,6.98,75%,1.28,-0.23,0.09,-0.45,-0.96,-0.7,-0.88,-0.13,-0.79,-0.22
