RNK,Value,Name,Status,G,M,PTS,TPM,REB,AST,STL,BLK,TOV,FG%,FGA,FT%,FTA,zPTS,zTPM,zAST,zREB,zSTL,zBLK,zTOV,zFG%,zFT%
456,-0.6,Kasparas Jakučionis,,30,9.9,3.2,0.41,1.59,1.43,0.25,0.08,1.01,38%,2.92,79%,0.76,-0.96,-0.77,-0.4,-0.89,-1.08,-0.83,0.2,-0.62,-0.05
457,-0.6,Luke Travers,,17,7.9,2.2,0.22,1.77,0.73,0.24,0.16,0.69,40%,2.17,74%,0.33,-1.11,-0.98,-0.77,-0.81,-1.11,-0.65,0.6,-0.38,-0.19
458,-0.6,Kevon Harris,Status$,15,6.1,2.6,0.3,0.98,0.34,0.2,0.07,0.34,45%,1.96,75%,0.69,-1.05,-0.89,-0.98,-1.14,-1.21,-0.86,1.02,-0.14,-0.19
459,-0.61,Will Riley,,48,12.2,3.7,0.52,1.78,0.78,0.2,0.13,0.78,39%,3.41,72%,0.74,-0.88,-0.65,-0.75,-0.81,-1.21,-0.72,0.49,-0.64,-0.3
460,-0.61,Garrett Temple,Status$,15,7.1,1.6,0.27,0.9,0.6,0.3,0.11,0.27,33%,1.75,76%,0.29,-1.2,-0.93,-0.84,-1.17,-0.96,-0.76,1.11,-0.59,-0.16
461,-0.61,Sidy Cissoko,,17,7.1,2.5,0.22,0.98,0.74,0.22,0.14,0.54,47%,2.08,65%,0.5,-1.07,-0.98,-0.77,-1.14,-1.16,-0.69,0.78,-0.06,-0.42
462,-0.62,JD Davison,,15,6.1,2.4,0.39,0.87,1.01,0.2,0.09,0.5,38%,2.28,73%,0.39,-1.08,-0.8,-0.62,-1.18,-1.21,-0.81,0.83,-0.5,-0.21
463,-0.63,Thanasis Antetokounmpo,Status$,46,6.9,1.9,0.02,1.47,0.48,0.23,0.15,0.47,54%,1.45,56%,0.52,-1.16,-1.2,-0.91,-0.94,-1.13,-0.67,0.86,0.16,-0.65
464,-0.63,Isaiah Stevens,,15,4.9,1.9,0.29,0.48,0.74,0.14,0.03,0.25,43%,1.59,81%,0.28,-1.16,-0.9,-0.77,-1.34,-1.36,-0.95,1.13,-0.19,-0.09
465,-0.63,Spencer Jones,,17,6.1,1.8,0.19,0.79,0.27,0.2,0.13,0.23,40%,1.85,78%,0.22,-1.17,-1.02,-1.02,-1.22,-1.21,-0.72,1.16,-0.34,-0.14
466,-0.64,Riley Minix,,17,4,1.2,0.16,0.99,0.17,0.13,0.09,0.21,45%,1.02,81%,0.2,-1.26,-1.05,-1.07,-1.13,-1.38,-0.81,1.18,-0.1,-0.11
467,-0.64,Emanuel Miller,,15,4,1.6,0.05,1.05,0.22,0.14,0.05,0.18,49%,1.33,73%,0.32,-1.2,-1.17,-1.05,-1.11,-1.36,-0.91,1.22,0,-0.2
468,-0.65,Harrison Ingram,,17,6.1,1.5,0.17,1.28,0.39,0.2,0.06,0.3,41%,1.47,62%,0.28,-1.22,-1.03,-0.96,-1.01,-1.21,-0.88,1.07,-0.25,-0.34
469,-0.65,Ulrich Chomche,,8,4,0.9,0.07,1.23,0.23,0.15,0.18,0.26,41%,0.86,56%,0.19,-1.31,-1.14,-1.04,-1.04,-1.33,-0.6,1.12,-0.17,-0.34
470,-0.65,Joe Ingles,Status$,45,5.9,1.4,0.34,0.54,1.04,0.12,0.03,0.44,40%,1.23,81%,0.05,-1.23,-0.85,-0.61,-1.32,-1.41,-0.95,0.9,-0.24,-0.14
471,-0.65,Daniss Jenkins,,17,5.1,1.6,0.27,0.52,0.6,0.16,0.07,0.25,38%,1.57,74%,0.23,-1.2,-0.93,-0.84,-1.33,-1.31,-0.86,1.13,-0.36,-0.18
472,-0.65,Isaiah Crawford,,15,3.9,1.3,0.14,0.66,0.2,0.17,0.12,0.17,41%,1.11,71%,0.34,-1.25,-1.07,-1.06,-1.27,-1.28,-0.74,1.23,-0.2,-0.24
473,-0.66,Yuki Kawamura,,15,3.9,1.3,0.28,0.48,0.81,0.12,0.03,0.25,33%,1.14,80%,0.35,-1.25,-0.91,-0.73,-1.34,-1.41,-0.95,1.13,-0.4,-0.09
474,-0.67,Tolu Smith,,17,8.1,2.7,0,2.23,0.37,0.18,0.11,0.66,45%,2.38,65%,0.88,-1.04,-1.21,-0.97,-0.63,-1.26,-0.76,0.63,-0.16,-0.62
475,-0.69,Jacob Toppin,,17,3,1,0.15,0.62,0.22,0.08,0.07,0.13,39%,0.95,74%,0.14,-1.29,-1.06,-1.05,-1.28,-1.51,-0.86,1.28,-0.22,-0.17
476,-0.69,Pete Nance,,17,3,0.9,0.17,0.55,0.2,0.06,0.06,0.12,44%,0.7,63%,0.1,-1.31,-1.03,-1.06,-1.31,-1.56,-0.88,1.29,-0.11,-0.22
477,-0.69,Trentyn Flowers,,15,3.9,1.7,0.11,0.74,0.17,0.08,0.03,0.16,46%,1.44,68%,0.36,-1.19,-1.1,-1.07,-1.24,-1.51,-0.95,1.24,-0.09,-0.29
478,-0.7,Jamaree Bouyea,,15,3.1,0.9,0.1,0.29,0.4,0.11,0.05,0.26,45%,0.83,68%,0.12,-1.31,-1.11,-0.95,-1.42,-1.44,-0.91,1.12,-0.1,-0.2
479,-0.76,Fred VanVleet,,0,0,0,0,0,0,0,0,0,0%,0,0%,0,-1.44,-1.22,-1.17,-1.54,-1.71,-1.02,1.44,-0.06,-0.1
