,PLAYER,PTS,FGM,FGA,FG%,FTA,FTM,FT%,3PM,REB,AST,STL,BLK,TO
532,Lindy Waters III,13.5,4.8,12.0,0.4,0.9,0.7,0.772,3.1,5.3,2.7,1.1,0.6,1.1
533,Trendon Watford,17.6,6.5,13.1,0.497,4.3,3.3,0.772,1.2,7.0,4.2,1.1,0.6,2.8
534,Anton Watson,16.7,6.3,13.5,0.47,2.9,2.3,0.783,1.8,6.5,3.9,1.3,0.7,2.2
535,Peyton Watson,12.8,4.8,10.0,0.483,2.9,2.0,0.7,1.1,5.6,2.2,1.1,2.0,1.3
536,Jaylen Wells,15.0,5.3,12.0,0.44,2.5,2.0,0.824,2.5,5.0,2.6,0.8,0.2,1.3
537,Victor Wembanyama,26.2,9.6,19.8,0.483,5.2,4.2,0.822,2.9,12.3,4.3,1.4,4.1,3.7
538,Blake Wesley,12.1,4.5,10.0,0.453,3.2,2.1,0.665,0.9,4.0,6.1,1.6,0.4,2.6
539,Russell Westbrook,17.2,6.5,14.8,0.441,4.0,2.7,0.663,1.5,6.7,7.5,1.7,0.6,4.0
540,Phillip Wheeler,15.1,5.5,14.1,0.394,2.9,2.4,0.812,1.6,6.7,3.5,1.2,0.9,1.8
541,Coby White,20.6,7.1,15.6,0.457,3.9,3.4,0.882,2.9,4.3,4.9,0.9,0.2,2.3
542,Derrick White,17.0,5.8,13.1,0.447,2.4,2.0,0.855,3.3,4.8,5.1,1.0,1.2,1.8
543,Cam Whitmore,21.8,8.1,17.5,0.464,3.6,2.7,0.737,2.9,7.0,2.2,1.3,0.6,1.9
544,Aaron Wiggins,17.7,6.9,13.6,0.504,2.0,1.6,0.818,2.4,6.0,2.8,1.3,0.4,1.5
545,Andrew Wiggins,19.6,7.1,15.7,0.45,4.3,3.2,0.754,2.3,5.6,2.8,1.1,0.9,1.8
546,Alondes Williams,17.4,6.5,13.5,0.479,3.1,2.5,0.792,2.0,6.2,3.9,1.1,0.8,2.2
547,Brandon Williams,19.5,7.0,14.0,0.499,4.6,3.7,0.81,1.8,4.8,5.3,1.5,0.5,2.6
548,Cody Williams,9.3,3.4,9.3,0.364,1.6,1.2,0.751,1.3,4.3,2.3,0.9,0.6,1.5
549,Grant Williams,13.1,4.5,9.9,0.456,2.5,2.0,0.784,2.1,5.8,2.9,0.9,0.7,1.8
550,Jalen Williams,22.8,8.7,17.2,0.509,4.3,3.4,0.802,1.8,5.6,5.4,1.6,0.7,2.2
551,Jaylin Williams,12.8,4.5,10.1,0.447,1.7,1.4,0.78,2.5,10.6,4.9,1.1,1.1,1.5
552,Jeenathan Williams,16.7,6.7,14.0,0.478,2.7,1.9,0.689,1.5,5.2,2.9,1.5,0.7,2.4
553,Kenrich Williams,13.3,5.2,11.0,0.478,1.2,0.8,0.681,2.0,7.4,3.2,1.3,0.4,1.3
554,Mark Williams,19.8,7.9,13.1,0.606,4.8,3.7,0.787,0.2,13.1,3.0,1.1,1.6,2.0
555,Patrick Williams,13.4,4.9,11.5,0.428,2.0,1.5,0.764,2.1,5.5,2.6,1.2,0.9,1.8
556,Robert Williams,13.2,5.5,9.1,0.6,2.2,1.7,0.793,0.5,10.9,2.5,1.3,2.4,1.8
557,Vince Williams Jr.,13.6,4.7,10.9,0.436,2.7,2.2,0.8,2.0,7.2,4.2,1.1,0.7,2.3
558,Ziaire Williams,15.1,5.2,12.4,0.421,2.8,2.3,0.823,2.3,6.6,2.3,1.4,0.6,1.8
559,Zion Williamson,27.8,10.8,18.8,0.572,8.6,5.9,0.69,0.3,7.7,6.0,1.4,0.9,3.3
560,Jalen Wilson,13.5,4.5,10.9,0.412,2.9,2.4,0.821,2.1,5.3,2.7,0.7,0.2,1.4
561,James Wiseman,16.3,6.6,11.5,0.577,3.6,2.6,0.733,0.4,10.3,2.1,0.5,1.2,2.1
562,Isaiah Wong,16.8,5.9,13.9,0.424,4.1,3.1,0.754,1.9,5.2,3.9,1.4,0.3,2.3
563,Delon Wright,9.6,3.5,8.8,0.395,1.9,1.4,0.74,1.3,4.4,4.8,2.1,0.6,1.2
564,Guerschon Yabusele,14.7,5.4,10.9,0.495,2.7,1.9,0.727,2.0,7.4,2.9,1.1,0.5,1.7
565,Jahmir Young,16.6,6.1,12.2,0.498,3.1,2.5,0.81,1.9,6.2,4.5,1.1,0.6,2.0
566,Trae Young,24.7,7.7,18.2,0.421,7.4,6.5,0.871,2.9,3.2,11.0,1.2,0.2,4.4
567,Ivica Zubac,17.4,7.5,12.0,0.626,3.3,2.3,0.684,0.1,13.2,2.6,0.7,1.3,1.7
