,PLAYER,G,MPG,PTS,FGA,FG%,FTA,FT%,3PM,REB,AST,STL,BLK,TO
439,Colby Jones,15,8.1,2.4,1.96,0.46,0.53,0.64,0.23,1.22,0.63,0.37,0.13,0.33
440,Cam Christie,46,7.1,3.3,2.77,0.44,0.38,0.74,0.55,0.93,0.52,0.19,0.08,0.24
441,Tyson Etienne,17,8.8,3.9,3.38,0.37,0.76,0.82,0.82,0.75,0.62,0.25,0.04,0.36
442,Pacôme Dadiet,46,13.2,3.6,3.4,0.34,0.67,0.72,0.74,1.81,0.54,0.37,0.13,0.55
443,Micah Peavy,46,11.1,3.3,3.09,0.44,0.49,0.66,0.24,1.68,0.61,0.4,0.14,0.68
444,RJ Luis Jr.,51,10.9,4.0,3.94,0.4,0.68,0.76,0.34,1.9,0.7,0.43,0.14,0.93
445,Alijah Martin,17,8.1,3.1,2.71,0.4,0.46,0.73,0.56,1.35,0.51,0.3,0.07,0.45
446,Tyler Smith,15,6.1,2.2,1.97,0.44,0.25,0.73,0.31,1.22,0.25,0.19,0.21,0.29
447,Javon Small,17,8.1,3.0,2.64,0.38,0.58,0.81,0.55,1.02,1.18,0.25,0.07,0.68
448,Trey Alexander,48,8.9,3.5,3.35,0.39,0.55,0.77,0.49,1.04,0.91,0.23,0.09,0.43
449,Elijah Harkless,15,9.2,2.8,2.6,0.36,0.47,0.68,0.57,1.41,0.47,0.42,0.07,0.5
450,Doug McDermott,34,8.1,3.1,2.56,0.42,0.08,0.66,0.93,0.45,0.28,0.11,0.02,0.13
451,Noah Penda,46,10.8,2.9,2.62,0.39,0.76,0.69,0.36,1.79,0.82,0.4,0.14,0.84
452,Hunter Sallis,17,9.9,3.1,2.91,0.4,0.51,0.78,0.41,1.23,0.61,0.29,0.12,0.63
453,Bryce McGowens,48,7.9,3.4,2.56,0.45,1.0,0.78,0.28,0.86,0.44,0.18,0.09,0.37
454,John Tonje,15,8.1,2.7,2.25,0.4,0.66,0.8,0.43,1.13,0.35,0.19,0.07,0.38
455,Kasparas Jakučionis,30,9.9,3.2,2.92,0.38,0.76,0.79,0.41,1.59,1.43,0.25,0.08,1.01
456,Luke Travers,17,7.9,2.2,2.17,0.4,0.33,0.74,0.22,1.77,0.73,0.24,0.16,0.69
457,Kevon Harris,15,6.1,2.6,1.96,0.45,0.69,0.75,0.3,0.98,0.34,0.2,0.07,0.34
458,Will Riley,48,12.2,3.7,3.41,0.39,0.74,0.72,0.52,1.78,0.78,0.2,0.13,0.78
459,Garrett Temple,15,7.1,1.6,1.75,0.33,0.29,0.76,0.27,0.9,0.6,0.3,0.11,0.27
460,Sidy Cissoko,17,7.1,2.5,2.08,0.47,0.5,0.65,0.22,0.98,0.74,0.22,0.14,0.54
461,JD Davison,15,6.1,2.4,2.28,0.38,0.39,0.73,0.39,0.87,1.01,0.2,0.09,0.5
462,Thanasis Antetokounmpo,46,6.9,1.9,1.45,0.54,0.52,0.56,0.02,1.47,0.48,0.23,0.15,0.47
