,PLAYER,POS,TEAM,ADP,G,MPG,PTS,FGM,FGA,FG%,FTA,FTM,FT%,3PM,REB,AST,STL,BLK,TO,TOTAL
488,Oshae Brissett,"SF,PF",FA,0.0,30.0,17.6,5.8,2.0,4.4,0.452,2.2,1.3,0.596,0.5,4.2,1.1,0.5,0.3,0.6,-9.8
489,Trevelin Queen,"SG,SF",FA,0.0,22.0,12.8,4.2,1.5,4.0,0.378,0.7,0.6,0.819,0.5,1.6,1.2,0.8,0.3,0.6,-9.85
490,Kessler Edwards,"PF,C",FA,0.0,47.0,10.1,3.0,1.2,2.5,0.466,0.3,0.2,0.8,0.5,1.8,0.7,0.3,0.3,0.2,-9.86
491,Christian Koloko,C,LAL,0.0,37.0,9.2,2.5,1.1,1.8,0.606,0.4,0.3,0.711,0.0,2.5,0.4,0.2,0.4,0.3,-9.9
492,Ousmane Dieng,"PF,C",OKC,0.0,30.0,11.0,4.0,1.5,3.5,0.428,0.5,0.4,0.783,0.6,1.9,1.0,0.4,0.2,0.5,-9.94
493,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,Kyle Lowry,PG,PHI,0.0,40.0,10.4,2.8,0.9,2.2,0.412,0.5,0.4,0.833,0.6,1.2,1.6,0.4,0.1,0.5,-9.98
495,Kevin Love,"PF,C",UTA,0.0,20.0,10.4,5.4,1.8,4.2,0.421,1.2,0.9,0.769,1.0,3.9,1.2,0.3,0.1,0.6,-10.01
496,Jamal Cain,"SG,SF",ORL,0.0,31.0,11.8,4.6,1.6,3.7,0.431,1.1,0.8,0.711,0.6,1.9,0.5,0.5,0.2,0.5,-10.01
497,Svi Mykhailiuk,SF,UTA,0.0,30.0,12.0,5.1,1.8,4.5,0.4,0.5,0.4,0.778,1.2,1.5,1.2,0.3,0.1,0.7,-10.03
498,GG Jackson II,"SF,PF",MEM,0.0,42.0,11.8,6.5,2.3,5.5,0.414,1.4,1.0,0.741,1.0,2.1,0.6,0.3,0.2,0.7,-10.04
499,Caleb Houstan,"SG,SF",ATL,0.0,40.0,13.7,4.3,1.4,3.4,0.404,0.4,0.3,0.838,1.2,1.4,0.6,0.3,0.1,0.3,-10.05
500,Nick Smith Jr.,"PG,SG",LAL,0.0,40.0,14.6,6.3,2.4,6.0,0.391,0.4,0.4,0.907,1.2,1.4,1.4,0.2,0.1,0.9,-10.06
501,Patty Mills,PG,FA,0.0,30.0,12.0,3.9,1.4,3.7,0.361,0.4,0.4,0.976,0.8,0.9,1.0,0.5,0.1,0.5,-10.1
502,Asa Newell,PF,ATL,0.0,40.0,11.4,4.4,1.6,3.1,0.51,1.2,0.9,0.758,0.2,2.0,0.3,0.3,0.3,0.3,-10.11
503,Elfrid Payton,"PG,SG",FA,0.0,20.0,13.3,2.4,1.1,3.4,0.325,0.2,0.1,0.579,0.0,2.2,4.6,0.7,0.3,1.6,-10.15
504,Jaden Springer,SG,NO,0.0,46.0,9.4,3.0,1.0,2.6,0.394,0.9,0.7,0.77,0.2,1.5,0.8,0.7,0.2,0.5,-10.16
505,Alex Len,C,FA,0.0,46.0,8.8,2.1,0.9,1.6,0.568,0.6,0.3,0.545,0.0,2.4,1.0,0.2,0.6,0.5,-10.2
506,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507,Killian Hayes,PG,FA,0.0,20.0,15.5,4.3,1.7,4.1,0.414,0.8,0.5,0.701,0.4,1.7,2.9,0.5,0.3,0.7,-10.3
508,A.J. Lawson,"SG,SF",TOR,0.0,34.0,13.1,6.2,2.2,5.2,0.43,1.4,1.0,0.671,0.8,2.3,0.9,0.4,0.2,0.5,-10.32
509,Cory Joseph,PG,FA,0.0,38.0,11.8,3.2,1.1,2.9,0.392,0.3,0.2,0.727,0.7,1.4,1.5,0.4,0.1,0.4,-10.39
510,JT Thor,PF,FA,0.0,41.0,12.4,3.3,1.3,2.9,0.435,0.5,0.3,0.627,0.4,2.4,0.4,0.2,0.4,0.3,-10.45
511,Leonard Miller,PF,MIN,0.0,15.0,6.8,4.0,1.6,2.9,0.542,0.8,0.7,0.902,0.2,2.5,0.7,0.3,0.2,0.3,-10.47
512,Lester Quinones,"SG,SF",FA,0.0,25.0,12.4,5.4,1.9,4.8,0.398,0.9,0.7,0.736,1.0,2.0,1.3,0.2,0.1,0.7,-10.48
513,Marcus Bagley,,FA,0.0,10.0,12.3,3.2,1.3,3.3,0.39,0.5,0.4,0.792,0.2,3.4,0.5,0.4,0.6,0.3,-10.52
514,Keion Brooks Jr.,,FA,0.0,14.0,11.7,5.5,2.0,4.3,0.466,1.2,0.9,0.737,0.6,2.3,0.5,0.4,0.4,0.5,-10.56
515,Patrick Baldwin Jr.,PF,LAC,0.0,31.0,8.7,3.2,1.1,2.8,0.41,0.5,0.3,0.66,0.6,2.2,0.5,0.3,0.3,0.4,-10.58
516,Taj Gibson,"PF,C",FA,0.0,28.0,10.6,2.5,1.1,2.3,0.47,0.4,0.2,0.632,0.1,2.7,0.6,0.2,0.4,0.5,-10.61
517,Cam Spencer,SG,MEM,0.0,10.0,10.1,4.3,1.4,3.3,0.413,0.8,0.8,1.0,0.8,1.2,1.4,0.4,0.0,0.2,-10.63
518,Dwight Powell,C,DAL,0.0,40.0,8.6,2.0,0.7,1.1,0.676,0.8,0.6,0.687,0.0,2.1,0.9,0.3,0.3,0.3,-10.64
519,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520,Zeke Nnaji,"PF,C",DEN,0.0,30.0,8.3,2.6,1.0,2.1,0.481,0.8,0.5,0.653,0.2,1.5,0.4,0.3,0.5,0.3,-10.72
521,Dario Saric,C,SAC,0.0,20.0,10.2,4.5,1.6,3.5,0.453,0.8,0.7,0.84,0.6,2.6,1.3,0.3,0.1,0.7,-10.74
522,Kenyon Martin Jr.,"SF,PF",UTA,0.0,30.0,10.8,3.3,1.4,2.5,0.546,0.6,0.4,0.672,0.2,1.7,0.7,0.3,0.2,0.4,-10.77
523,Jaylon Tyson,SF,CLE,0.0,47.0,9.6,3.6,1.4,3.2,0.429,0.5,0.4,0.804,0.4,2.1,0.9,0.3,0.1,0.6,-10.77
524,P.J. Tucker,PF,FA,0.0,17.0,17.5,2.0,0.7,1.9,0.368,0.1,0.1,1.0,0.5,3.0,0.5,0.6,0.3,0.3,-10.8
525,Kobe Bufkin,"PG,SG",BKN,0.0,30.0,11.9,5.1,2.0,5.2,0.375,1.0,0.6,0.653,0.5,2.0,1.7,0.4,0.3,0.7,-10.83
526,Tyler Kolek,PG,NY,0.0,30.0,12.2,4.7,2.0,4.7,0.426,0.0,0.0,0.0,0.7,0.7,2.0,0.3,0.0,1.3,-10.84
