PLAYER,G,MPG,PTS,FGM,FGA,FG%,FTA,FTM,FT%,3PM,REB,AST,STL,BLK,TO
Dalton Knecht,20.0,15.1,6.4,2.4,5.1,0.471,0.8,0.5,0.667,1.1,1.9,0.6,0.4,0.4,0.4
Gradey Dick,26.0,15.8,6.3,2.1,5.2,0.403,1.5,1.2,0.842,0.9,1.9,0.7,0.6,0.1,0.5
Mac McClung,3.0,11.3,6.3,2.3,6.0,0.389,1.3,1.0,0.75,0.7,1.3,0.3,1.7,0.3,0.7
Tidjane Salaün,12.0,14.9,6.3,2.1,4.1,0.51,1.3,0.9,0.733,1.3,3.7,0.8,0.6,0.2,0.6
Jamal Shead,26.0,19.8,6.3,2.0,5.5,0.366,1.7,1.3,0.791,1.0,1.8,5.2,1.2,0.1,1.2
KJ Simpson,12.0,15.9,6.2,2.3,6.1,0.37,1.2,0.8,0.643,0.9,2.4,2.4,1.0,0.0,1.6
Ethan Thompson,5.0,21.0,6.2,2.2,4.4,0.5,0.6,0.4,0.667,1.4,1.8,1.4,0.6,0.4,0.0
Goga Bitadze,25.0,16.7,6.1,2.4,3.3,0.732,1.5,1.2,0.789,0.1,5.1,1.4,0.6,1.3,0.6
Luka Garza,19.0,13.1,6.1,2.1,3.7,0.571,1.6,1.3,0.774,0.6,3.5,0.8,0.3,0.4,0.4
Taurean Prince,8.0,21.1,6.1,2.1,4.8,0.447,0.4,0.4,1.0,1.5,1.6,1.0,0.8,0.3,0.6
Dru Smith,25.0,16.8,6.1,2.2,4.9,0.439,1.3,1.0,0.788,0.8,2.6,2.8,1.4,0.3,1.0
Jeremy Sochan,17.0,16.3,6.1,2.5,5.0,0.506,0.9,0.6,0.688,0.4,3.6,1.4,0.5,0.2,0.9
Jaden Hardy,20.0,10.5,6.0,1.9,4.8,0.4,1.1,0.9,0.818,1.3,1.2,0.5,0.2,0.1,0.8
A.J. Lawson,2.0,8.0,6.0,2.0,5.0,0.4,1.0,1.0,1.0,1.0,2.5,0.0,0.0,1.0,0.0
Blake Wesley,6.0,16.3,6.0,2.3,5.7,0.412,1.7,1.0,0.6,0.3,2.3,3.2,1.7,0.2,1.2
Kenrich Williams,7.0,16.0,6.0,2.3,4.6,0.5,0.9,0.4,0.5,1.0,2.9,2.0,0.0,0.0,0.9
Justin Edwards,21.0,17.3,5.9,2.1,5.4,0.389,0.5,0.5,0.909,1.2,1.9,1.5,0.6,0.2,0.9
Mouhamed Gueye,26.0,17.2,5.9,2.4,4.9,0.492,0.8,0.5,0.571,0.6,3.7,1.0,0.6,0.7,0.7
Drake Powell,17.0,18.2,5.9,2.1,4.4,0.48,1.1,1.0,0.944,0.7,1.6,2.0,0.8,0.2,1.1
Alex Caruso,17.0,18.8,5.8,2.1,5.1,0.414,0.6,0.5,0.8,1.1,2.6,2.5,1.8,0.3,1.0
Brook Lopez,19.0,14.1,5.8,2.1,5.3,0.39,0.6,0.4,0.727,1.3,1.7,0.5,0.3,0.8,0.7
Sidy Cissoko,20.0,19.1,5.7,2.1,4.7,0.436,1.0,0.7,0.684,0.9,2.3,1.3,0.5,0.2,1.0
Yves Missi,19.0,19.2,5.7,2.5,4.5,0.553,1.4,0.7,0.538,0.0,5.6,1.2,0.2,1.1,1.0
Al Horford,13.0,21.5,5.6,1.9,6.0,0.321,0.5,0.5,1.0,1.3,4.4,2.0,1.0,1.0,1.2
Tyrese Proctor,18.0,12.4,5.6,1.8,5.2,0.344,1.2,1.0,0.857,1.1,1.3,1.4,0.3,0.0,0.4
Robert Williams,15.0,15.3,5.6,2.7,4.0,0.667,0.5,0.2,0.429,0.1,5.5,0.7,0.6,1.7,0.4
Lonzo Ball,19.0,23.6,5.5,1.8,6.3,0.286,0.7,0.5,0.714,1.4,4.5,4.8,1.3,0.3,1.7
Kris Murray,23.0,24.9,5.5,2.2,4.9,0.442,1.0,0.7,0.682,0.5,4.0,1.1,1.2,0.3,1.0
Ja'Kobe Walter,23.0,16.6,5.5,1.9,4.6,0.419,0.7,0.5,0.75,1.2,2.0,0.8,1.0,0.1,0.7
Jaylin Williams,25.0,18.3,5.5,1.8,5.0,0.355,1.2,0.8,0.655,1.2,4.7,2.4,0.7,0.5,1.0
Jett Howard,17.0,10.5,5.4,2.0,4.5,0.447,0.3,0.3,1.0,1.1,1.2,0.7,0.2,0.2,0.1
