INDEX,PLAYER_NORM,G,MPG,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,RANK_SCORE,RANK
10362.0,simone fontecchio,3.0,20.3,13.7,3.3,1.3,0.7,0.0,2.7,0.615,0.5,0.7,0.9965566698484457,163
10219.0,egor demin,3.0,22.0,8.7,5.0,2.3,0.3,0.0,2.7,0.5,1.0,2.3,0.9965262848441232,164
10266.0,patrick williams,3.0,22.7,9.3,4.0,2.0,1.0,0.7,1.3,0.556,0.571,1.3,0.979286865107708,165
10152.0,kris dunn,3.0,21.7,7.7,3.0,1.0,1.3,0.0,1.0,0.529,1.0,1.0,0.8875685859251916,166
10168.0,khris middleton,3.0,26.3,14.3,4.3,2.0,1.3,0.0,1.3,0.515,0.625,1.3,0.8757350608203265,167
10395.0,jock landale,4.0,23.3,9.8,5.8,1.0,0.0,0.8,1.0,0.542,0.818,1.0,0.8719894250251319,168
10091.0,herbert jones,3.0,29.0,9.3,6.0,1.7,1.3,0.3,1.7,0.3,0.833,2.0,0.847921834964286,169
10378.0,josh okogie,3.0,22.7,9.3,2.0,1.0,0.7,0.3,1.3,0.583,0.833,0.3,0.840272418766405,170
10049.0,joel embiid,2.0,20.0,12.0,4.0,3.0,1.0,0.5,1.5,0.4,0.714,2.0,0.8085601284429534,171
10154.0,deandre hunter,2.0,25.5,14.5,4.5,4.0,0.5,0.0,1.5,0.417,0.75,1.5,0.7734919347160217,172
10413.0,kris murray,4.0,21.8,5.5,2.3,0.5,1.3,0.3,0.5,0.529,1.0,0.5,0.7089659932875125,173
10190.0,quentin grimes,3.0,29.3,16.0,4.3,4.0,0.0,0.0,3.3,0.433,0.8,3.0,0.6788036162932545,174
10366.0,craig porter,4.0,15.3,6.3,3.0,1.8,1.8,0.0,0.8,0.588,0.667,0.8,0.674569709763894,175
10254.0,derik queen,3.0,23.7,10.0,4.7,0.3,0.7,1.0,0.0,0.455,0.833,0.7,0.6257483110400077,176
10203.0,harrison barnes,4.0,30.5,9.0,1.5,3.0,0.5,0.5,1.5,0.464,1.0,1.8,0.5944450438882161,177
10116.0,santi aldama,4.0,21.8,10.3,7.0,1.8,1.3,1.0,1.0,0.474,0.167,1.3,0.5762117137759601,178
10230.0,dayron sharpe,4.0,16.5,9.8,5.3,1.5,1.0,0.5,0.5,0.8,0.714,2.8,0.5643014716202137,179
10184.0,duncan robinson,4.0,31.5,8.8,1.8,1.0,0.3,0.8,2.0,0.355,0.833,0.3,0.5589348582415972,180
10141.0,chris paul,3.0,15.3,3.3,1.7,4.7,1.3,0.0,1.0,0.3,1.0,1.0,0.5468219275153001,181
10249.0,jarace walker,3.0,27.7,8.0,6.0,3.7,0.3,0.7,1.3,0.313,,1.7,0.523990204460421,182
,isaiah livers,2.0,13.0,4.0,0.5,0.0,1.0,1.0,1.0,0.333,1.0,0.0,0.4873294978795366,183
10178.0,yves missi,2.0,21.5,8.0,7.0,2.0,0.5,0.5,0.0,0.625,0.857,2.0,0.46547402186468145,184
10377.0,tidjane salaun,3.0,15.7,5.7,5.3,1.0,0.7,0.3,1.3,0.6,0.5,0.0,0.41357488932304454,185
10095.0,nic claxton,4.0,26.0,10.8,5.3,2.8,1.0,0.0,0.0,0.526,0.75,1.0,0.4063737748877389,186
10316.0,tristan da silva,4.0,20.3,9.8,3.0,1.3,0.8,0.3,1.3,0.419,0.8,0.5,0.39714630892691044,187
10098.0,andrew wiggins,3.0,29.0,12.3,5.3,2.0,0.7,1.0,0.7,0.483,0.583,2.0,0.3778532316922264,188
10079.0,cj mccollum,3.0,31.0,13.0,4.7,4.3,0.3,0.0,1.7,0.333,0.667,1.0,0.3647912169675269,189
10105.0,matas buzelis,3.0,26.3,13.3,4.7,1.3,0.3,1.0,0.7,0.452,0.833,2.0,0.30703188829078687,190
10192.0,naji marshall,4.0,24.0,7.8,4.3,2.0,1.3,0.0,0.0,0.421,0.938,0.8,0.27926912614073235,191
10226.0,goga bitadze,4.0,16.5,4.8,6.3,2.0,0.5,0.8,0.0,0.636,0.556,0.8,0.23536350626272512,192
10252.0,tim hardaway,3.0,26.3,11.3,1.0,1.0,0.7,0.0,2.3,0.48,0.75,0.3,0.22110825821547175,193
10138.0,bub carrington,3.0,27.0,7.3,3.7,3.3,1.7,0.0,1.3,0.304,0.667,1.3,0.1941782946576543,194
10102.0,aaron nesmith,3.0,31.0,12.7,5.3,1.0,0.0,0.3,3.3,0.371,0.4,0.3,0.18748267639670557,195
10166.0,luguentz dort,4.0,36.8,6.0,5.3,2.3,1.0,0.0,1.0,0.235,1.0,1.0,0.18197355857625347,196
10485.0,noah penda,1.0,7.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,,0.0,0.17304940878660768,197
10131.0,shaedon sharpe,4.0,28.8,16.8,4.5,2.0,2.0,0.0,1.3,0.307,1.0,4.3,0.1506391478259128,198
,league average,,,,,,,,,0.469,0.784,,0.1340202196820416,199
10136.0,kon knueppel,3.0,30.3,15.0,4.7,1.3,0.3,0.0,3.7,0.552,0.5,2.3,0.13275989245745712,200
