INDEX,PLAYER_NORM,G,MPG,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
10493.0,hugo gonzalez,1.0,23.0,6.0,0.5,,0.0,4.0,1.0,2.0,0.0,0.0
10383.0,jaden hardy,2.0,9.5,6.0,0.4,0.5,1.5,1.0,0.0,0.0,0.0,0.0
10317.0,trayce jackson davis,1.0,17.0,6.0,0.4,1.0,0.0,4.0,1.0,1.0,1.0,1.0
10221.0,luke kennard,2.0,26.5,6.0,0.417,1.0,0.5,3.5,2.5,1.0,0.0,2.5
10097.0,dereck lively,2.0,15.0,6.0,0.714,1.0,0.0,4.0,2.5,1.0,0.5,1.5
10283.0,jusuf nurkic,2.0,17.5,6.0,0.375,,0.0,7.5,2.5,1.5,0.0,1.0
,will richard,3.0,18.3,6.0,0.545,0.75,1.0,2.7,2.0,1.3,0.0,0.7
10409.0,landry shamet,2.0,14.0,6.0,0.5,1.0,1.5,2.5,0.5,0.5,0.0,1.5
10165.0,marcus smart,2.0,21.5,6.0,0.5,0.75,0.5,0.0,0.5,1.5,0.0,2.5
10417.0,dru smith,2.0,17.0,6.0,0.417,,1.0,2.0,5.0,2.0,0.5,1.0
10206.0,matisse thybulle,2.0,14.5,6.0,0.6,1.0,1.0,2.0,1.0,2.5,0.0,0.5
10432.0,jabari walker,1.0,19.0,6.0,0.75,,0.0,4.0,0.0,0.0,0.0,0.0
10329.0,marvin bagley,2.0,15.0,5.5,0.667,0.5,0.5,3.5,1.0,0.5,0.0,0.5
10328.0,jamison battle,2.0,10.0,5.5,0.667,,1.5,2.5,0.0,0.5,0.0,0.5
10086.0,bradley beal,2.0,20.0,5.5,0.444,1.0,0.5,1.0,1.0,0.5,0.0,1.0
10226.0,goga bitadze,2.0,17.5,5.5,0.571,1.0,0.0,6.5,2.0,0.5,1.5,0.0
10406.0,jaylen clark,2.0,15.0,5.5,0.4,1.0,0.5,3.5,2.0,1.0,0.0,0.5
10076.0,isaiah hartenstein,2.0,37.0,5.5,0.444,0.6,0.0,11.0,3.5,1.0,0.0,1.5
10385.0,bones hyland,2.0,12.0,5.5,0.625,,0.5,1.0,1.5,0.5,0.0,0.5
