INDEX,PLAYER_NORM,G,MPG,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,RANK_SCORE,RANK
10426.0,baylor scheierman,4.0,8.5,0.8,3.0,0.3,0.3,0.0,0.3,0.333,,0.0,-3.7231045965732794,338
10106.0,isaiah jackson,4.0,11.8,3.8,2.8,0.5,0.0,0.3,0.0,0.4,1.0,1.8,-3.8113521982745286,339
,elijah harkless,1.0,12.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.5,0.0,-3.8243379112538416,340
10222.0,tyus jones,5.0,15.4,1.8,1.2,1.8,0.4,0.4,0.2,0.25,,0.8,-3.8551781930147193,341
10289.0,jalen smith,4.0,13.3,7.0,4.0,0.5,0.3,0.0,0.5,0.393,0.571,1.0,-3.906780525412791,342
10281.0,khaman maluach,2.0,8.5,3.5,1.0,0.5,0.0,0.5,0.0,0.333,0.833,0.5,-3.9529888932670643,343
10479.0,ariel hukporti,3.0,13.3,0.7,3.3,1.3,0.3,0.3,0.0,0.25,,0.7,-3.9586880010354326,344
10494.0,quenton jackson,2.0,13.5,6.0,2.5,0.0,0.5,0.0,0.5,0.556,0.5,1.0,-3.965942716083192,345
10503.0,chaz lanier,4.0,8.0,2.8,0.3,0.5,0.3,0.0,0.8,0.364,,0.3,-3.977569100160115,346
,bobi klintman,1.0,7.0,2.0,3.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,-3.9877947214111695,347
10385.0,bones hyland,5.0,13.4,5.6,1.2,1.6,0.6,0.0,1.0,0.478,0.5,1.6,-4.035866725033877,348
10352.0,rasheer fleming,2.0,6.5,1.5,1.0,1.0,0.5,0.0,0.5,0.2,,0.0,-4.162270445898638,349
10483.0,liam mcneeley,2.0,8.5,3.0,1.0,1.0,0.0,0.0,0.5,0.333,0.75,0.0,-4.176949505971789,350
10155.0,caris levert,2.0,18.5,6.0,1.0,2.0,0.5,0.0,0.5,0.333,0.6,1.0,-4.186434477228108,351
10473.0,dario saric,3.0,9.3,1.7,1.7,0.7,0.0,0.0,0.3,0.2,1.0,0.3,-4.22438175688997,352
10233.0,guerschon yabusele,3.0,13.7,1.7,4.0,0.3,0.3,0.0,0.3,0.2,,0.3,-4.250228565032773,353
10418.0,nolan traore,2.0,15.0,3.5,0.5,2.0,1.0,0.0,1.0,0.25,0.5,1.0,-4.279542449731987,354
10360.0,andre jackson,2.0,3.5,0.0,0.0,0.0,0.5,0.0,0.0,,,0.0,-4.305301597664911,355
10370.0,caleb martin,4.0,8.3,2.5,1.0,0.8,0.8,0.0,0.3,0.5,0.5,0.8,-4.325266965609081,356
10457.0,nick smith,2.0,15.0,4.5,2.0,2.0,0.0,0.5,0.5,0.273,0.667,1.5,-4.354280814056305,357
10547.0,ryan nembhard,3.0,9.0,3.3,0.3,1.7,0.0,0.0,0.0,0.444,1.0,1.7,-4.421999468590453,358
10387.0,trey jemison,1.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,-4.432150074001759,359
10224.0,jonathan isaac,4.0,4.8,0.5,0.5,0.0,0.5,0.3,0.0,0.333,,0.3,-4.45130463879438,360
,kobe sanders,2.0,4.5,1.0,0.5,0.5,1.0,0.0,0.0,0.25,,0.5,-4.5333913825273315,361
,chris youngblood,5.0,4.0,1.4,0.2,0.2,0.0,0.0,0.2,0.25,1.0,0.0,-4.575469185432549,362
10436.0,gui santos,4.0,6.3,1.5,0.5,0.3,0.5,0.0,0.5,0.4,,1.0,-4.631624862349529,363
,ben saraf,5.0,18.2,3.2,2.2,3.2,0.4,0.0,0.4,0.217,0.667,1.6,-4.661767634451126,364
10544.0,jacob toppin,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,,0.0,-4.691528555570839,365
,hunter dickinson,1.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.5,,2.0,-4.701664288746094,366
,riley minix,2.0,2.0,0.0,0.5,0.5,0.0,0.0,0.0,,,0.0,-4.71227074270284,367
,brooks barnhizer,5.0,8.2,1.2,1.2,0.0,0.0,0.0,0.0,0.429,,0.0,-4.740582117975961,368
,pat spencer,3.0,5.0,1.3,0.7,0.3,0.3,0.0,0.0,0.333,,0.0,-4.758340270226604,369
,cam christie,3.0,6.3,3.0,1.3,0.3,0.0,0.0,0.7,0.286,0.75,0.3,-4.768876815542584,370
,amari williams,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,-4.784120793030121,371
,nfaly dante,2.0,6.0,0.5,3.5,0.0,0.5,0.0,0.0,0.0,1.0,0.5,-4.789357237561749,372
10454.0,micah peavy,2.0,5.5,2.5,1.5,0.5,0.5,0.0,0.0,0.4,0.5,0.0,-4.814413498864482,373
10070.0,jakob poeltl,4.0,23.0,6.5,5.3,2.3,0.3,0.5,0.0,0.591,0.0,2.0,-4.818434786441581,374
,tyrese proctor,4.0,11.8,2.5,1.0,0.8,0.5,0.0,0.5,0.25,,1.0,-4.8657799347772945,375
10446.0,christian koloko,2.0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,,,0.0,-4.960106152544302,376
